Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,1,36,0,300,444.9,12.36,10.27,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,1,37,0,300,795.5,10.27,12.58,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,38,0,300,664.8,12.58,14.22,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,39,0,300,743.5,14.22,16.05,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,40,0,300,649.3,16.05,17.15,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,41,1,750,598.7,17.15,18.34,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,1,42,1,750,981.2,18.34,20.74,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,43,1,750,1001.1,20.74,21.91,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,44,1,750,505.3,21.91,19.11,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,45,1,750,571.6,19.11,20.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,46,1,750,594.1,20.0,21.5,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,47,1,750,930.5,21.5,23.94,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,0,0,300,1126.0,1.25,4.0,0.969,66.58,0.0,62.41
Proposed,bigbuckbunny,2,1,1,750,892.4,4.0,5.87,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,2,2,1,750,941.8,5.87,6.89,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,3,1,750,463.6,6.89,6.44,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,4,0,300,1052.0,6.44,9.05,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,2,5,1,750,355.7,9.05,9.11,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,2,6,1,750,952.1,9.11,11.82,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,7,1,750,1023.8,11.82,14.65,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,8,1,750,960.6,14.65,15.15,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,9,1,750,955.9,15.15,17.43,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,10,1,750,880.2,17.43,19.95,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,11,1,750,1063.0,19.95,21.76,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,12,1,750,934.7,21.76,20.34,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,13,1,750,994.6,20.34,22.23,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,14,1,750,1000.9,22.23,22.96,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,15,1,750,858.9,22.96,24.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,16,1,750,1103.0,24.0,21.35,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,17,1,750,966.8,21.35,21.51,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,18,1,750,810.4,21.51,20.76,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,19,1,750,971.9,20.76,21.77,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,20,1,750,704.0,21.77,17.03,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,21,1,750,1036.7,17.03,18.38,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,22,1,750,1087.5,18.38,19.49,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,23,1,750,1111.3,19.49,21.83,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,24,1,750,1138.6,21.83,22.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,25,1,750,1073.9,22.1,24.5,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,26,1,750,1065.4,24.5,26.95,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,27,1,750,984.5,26.95,28.84,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,28,1,750,824.4,28.84,28.56,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,29,1,750,1037.6,28.56,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,30,1,750,1055.3,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,31,1,750,1126.0,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,32,1,750,892.4,30.0,28.98,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,33,1,750,941.8,28.98,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,34,1,750,463.6,30.0,26.17,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,35,1,750,1052.0,26.17,28.04,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,36,1,750,355.7,28.04,12.99,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,37,1,750,952.1,12.99,13.45,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,38,1,750,1023.8,13.45,13.62,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,39,1,750,960.6,13.62,13.43,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,40,1,750,955.9,13.43,12.51,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,41,1,750,880.2,12.51,14.59,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,42,1,750,1063.0,14.59,17.12,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,43,1,750,934.7,17.12,18.09,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,44,1,750,994.6,18.09,18.64,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,45,1,750,1000.9,18.64,20.85,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,46,1,750,858.9,20.85,23.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,47,1,750,1103.0,23.13,25.81,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,0,0,300,1070.0,1.09,4.0,1.24,66.58,0.0,61.25
Proposed,bigbuckbunny,3,1,1,750,1465.1,4.0,6.7,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,3,2,1,750,835.4,6.7,7.34,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,3,0,300,338.2,7.34,8.9,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,3,4,0,300,799.4,8.9,11.07,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,3,5,1,750,852.7,11.07,13.43,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,3,6,1,750,608.4,13.43,15.41,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,7,1,750,376.5,15.41,16.23,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,8,1,750,1048.2,16.23,17.02,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,9,1,750,869.5,17.02,19.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,10,1,750,861.3,19.13,21.61,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,11,1,750,846.7,21.61,22.86,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,12,1,750,598.8,22.86,18.41,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,13,1,750,608.7,18.41,18.95,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,14,1,750,797.1,18.95,18.86,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,15,1,750,1016.9,18.86,20.36,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,16,1,750,1018.2,20.36,17.14,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,17,1,750,1221.8,17.14,18.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,18,1,750,1244.0,18.1,19.01,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,19,1,750,967.8,19.01,20.01,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,20,1,750,1259.1,20.01,19.12,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,21,1,750,1059.4,19.12,20.53,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,22,1,750,1076.0,20.53,21.6,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,23,1,750,1209.8,21.6,24.08,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,24,1,750,901.4,24.08,23.36,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,25,1,750,854.8,23.36,25.35,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,26,1,750,839.1,25.35,27.38,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,27,1,750,1088.7,27.38,29.48,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,28,1,750,1224.0,29.48,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,29,1,750,1011.0,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,30,1,750,1048.2,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,31,1,750,1045.6,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,32,1,750,876.3,30.0,28.89,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,33,1,750,824.0,28.89,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,34,1,750,1157.6,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,35,1,750,894.8,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,36,1,750,1077.9,30.0,27.71,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,37,1,750,1041.8,27.71,28.49,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,38,1,750,1157.7,28.49,29.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,39,1,750,1092.3,29.1,29.41,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,40,1,750,948.7,29.41,28.45,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,41,1,750,1176.1,28.45,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,42,1,750,954.2,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,43,1,750,1010.0,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,44,1,750,904.9,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,45,1,750,896.6,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,46,1,750,742.8,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,47,1,750,427.9,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,0,0,300,891.0,1.78,4.0,1.022,66.58,0.0,62.19
Proposed,bigbuckbunny,4,1,1,750,891.2,4.0,5.87,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,4,2,1,750,890.8,5.87,6.72,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,3,1,750,879.8,6.72,8.37,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,4,1,750,841.8,8.37,8.02,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,5,1,750,900.4,8.02,10.47,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,6,1,750,897.6,10.47,13.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,7,1,750,884.1,13.1,15.74,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,8,1,750,901.1,15.74,16.01,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,9,1,750,882.9,16.01,18.15,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,10,1,750,901.2,18.15,20.7,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,11,1,750,900.7,20.7,22.12,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,12,1,750,901.6,22.12,20.5,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,13,1,750,900.5,20.5,22.17,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,14,1,750,900.3,22.17,22.54,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,15,1,750,897.1,22.54,23.7,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,16,1,750,902.5,23.7,19.57,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,17,1,750,807.4,19.57,18.97,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,18,1,750,902.0,18.97,18.7,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,19,1,750,900.4,18.7,19.47,0.0,83.73,0.0,83.73
