Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,1,14,1,1,750,587.3,4.0,4.0,1.274,83.73,0.0,78.25,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,15,1,1,750,472.8,4.0,4.0,0.37,83.73,0.0,82.14,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,16,1,1,750,790.7,4.0,4.0,4.569,83.73,0.0,64.08,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,17,1,1,750,576.4,4.0,4.0,0.094,83.73,0.0,83.32,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,18,1,1,750,793.4,4.0,5.08,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,19,1,1,750,446.8,5.08,4.0,4.52,83.73,0.0,64.29,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,20,1,1,750,561.7,4.0,4.0,7.067,83.73,0.0,53.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,2.91,83.73,0.0,71.22,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,2.156,83.73,0.0,74.46,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,23,1,1,750,712.6,4.0,4.0,0.005,83.73,0.0,83.71,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,24,1,1,750,475.3,4.0,4.0,5.858,83.73,0.0,58.54,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,0.69,83.73,0.0,80.76,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,26,1,1,750,616.4,4.0,5.12,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,27,1,1,750,428.1,5.12,6.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,28,1,1,750,475.6,6.32,4.0,0.262,83.73,0.0,82.6,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,29,1,1,750,809.7,4.0,5.95,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,30,1,1,750,699.9,5.95,6.75,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,31,1,1,750,420.5,6.75,5.67,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,32,1,1,750,473.9,5.67,4.0,5.332,83.73,0.0,60.8,0,0.0,
