Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,3,25,1,1,750,854.8,4.46,5.86,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,26,1,1,750,839.1,5.86,7.74,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,27,2,2,1200,1088.7,7.74,9.98,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,28,2,2,1200,1224.0,9.98,9.89,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,29,2,2,1200,1011.0,9.89,11.27,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,30,2,2,1200,1048.2,11.27,11.84,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,31,2,2,1200,1045.6,11.84,12.57,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,32,2,2,1200,876.3,12.57,7.05,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,33,1,1,750,824.0,7.05,6.94,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,34,1,1,750,1157.6,6.94,7.7,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,35,2,2,1200,894.8,7.7,6.69,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,36,1,1,750,1077.9,6.69,5.69,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,37,1,1,750,1041.8,5.69,6.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,38,1,1,750,1157.7,6.32,7.1,0.0,83.73,0.0,83.73,0,0.0,
