Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,35,2,1200,677.2,4.0,4.0,2.254,90.34,6.61,74.04,1,750,0.0,83.73,83.73,-9.689999999999998,2.254,0
Proposed,bigbuckbunny,1,36,0,300,444.9,4.0,4.0,2.637,66.58,23.76,31.48,1,750,12.501,83.73,29.98,1.5,-9.863999999999999,0
Proposed,bigbuckbunny,1,37,1,750,795.5,4.0,5.23,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,38,2,1200,664.8,5.23,4.0,3.097,90.34,6.61,70.41,1,750,0.0,83.73,83.73,-13.320000000000007,3.097,0
Proposed,bigbuckbunny,1,39,1,750,743.5,4.0,4.0,0.546,83.73,6.61,74.77,1,750,0.518,83.73,81.5,-6.730000000000004,0.028000000000000025,1
Proposed,bigbuckbunny,1,40,0,300,649.3,4.0,4.71,0.0,66.58,17.15,49.43,1,750,4.236,83.73,65.52,-16.089999999999996,-4.236,0
Proposed,bigbuckbunny,1,41,2,1200,598.7,4.71,4.0,1.143,90.34,23.76,61.67,1,750,0.0,83.73,83.73,-22.060000000000002,1.143,0
Proposed,bigbuckbunny,1,42,1,750,981.2,4.0,5.02,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,1,43,2,1200,1001.1,5.02,5.93,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,44,1,750,505.3,5.93,4.0,2.373,83.73,6.61,66.92,1,750,0.869,83.73,79.99,-13.069999999999993,1.5040000000000002,1
Proposed,bigbuckbunny,1,45,2,1200,571.6,4.0,4.0,0.135,90.34,6.61,83.15,1,750,0.0,83.73,83.73,-0.5799999999999983,0.135,0
Proposed,bigbuckbunny,1,46,2,1200,594.1,4.0,4.0,1.584,90.34,0.0,83.53,2,1200,0.168,90.34,83.01,0.519999999999996,1.4160000000000001,1
Proposed,bigbuckbunny,1,47,2,1200,930.5,4.0,5.71,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,0,0,300,1126.0,1.25,4.0,0.614,66.58,0.0,63.94,1,750,3.404,83.73,69.09,-5.150000000000006,-2.79,0
Proposed,bigbuckbunny,2,1,2,1200,892.4,4.0,4.0,2.332,90.34,23.76,56.55,1,750,0.0,83.73,83.73,-27.180000000000007,2.332,0
Proposed,bigbuckbunny,2,2,2,1200,941.8,4.0,4.2,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,3,1,750,463.6,4.2,4.0,1.074,83.73,6.61,72.5,1,750,0.0,83.73,83.73,-11.230000000000004,1.074,1
Proposed,bigbuckbunny,2,4,0,300,1052.0,4.0,6.69,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,2,5,2,1200,355.7,6.69,4.06,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,2,6,2,1200,952.1,4.06,5.58,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,7,2,1200,1023.8,5.58,6.82,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,8,2,1200,960.6,6.82,5.64,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,9,2,1200,955.9,5.64,7.17,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,10,2,1200,880.2,7.17,8.57,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,11,2,1200,1063.0,8.57,9.43,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,12,2,1200,934.7,9.43,4.67,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,13,2,1200,994.6,4.67,4.0,0.775,90.34,0.0,87.01,1,750,0.0,83.73,83.73,3.280000000000001,0.775,0
Proposed,bigbuckbunny,2,14,2,1200,1000.9,4.0,4.68,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,15,2,1200,858.9,4.68,4.38,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,16,1,750,1103.0,4.38,4.0,0.447,83.73,6.61,75.2,1,750,0.0,83.73,83.73,-8.530000000000001,0.447,1
Proposed,bigbuckbunny,2,17,2,1200,966.8,4.0,4.0,0.736,90.34,6.61,80.56,1,750,0.0,83.73,83.73,-3.1700000000000017,0.736,0
Proposed,bigbuckbunny,2,18,1,750,810.4,4.0,4.0,0.949,83.73,6.61,73.04,1,750,0.0,83.73,83.73,-10.689999999999998,0.949,1
Proposed,bigbuckbunny,2,19,2,1200,971.9,4.0,4.0,0.76,90.34,6.61,80.46,1,750,0.0,83.73,83.73,-3.2700000000000102,0.76,0
Proposed,bigbuckbunny,2,20,1,750,704.0,4.0,4.0,3.001,83.73,6.61,64.22,1,750,0.0,83.73,83.73,-19.510000000000005,3.001,1
Proposed,bigbuckbunny,2,21,2,1200,1036.7,4.0,4.0,0.013,90.34,6.61,83.67,2,1200,0.0,90.34,83.73,-0.060000000000002274,0.013,1
