Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,1,20,0,0,300,561.7,11.53,11.65,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,21,1,1,750,529.7,11.65,10.13,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,22,1,1,750,362.6,10.13,8.12,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,23,0,0,300,712.6,8.12,9.84,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,24,0,0,300,475.3,9.84,9.78,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,1,25,1,1,750,474.9,9.78,9.14,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,26,1,1,750,616.4,9.14,7.85,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,27,1,1,750,428.1,7.85,8.27,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,28,0,0,300,475.6,8.27,9.52,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,29,1,1,750,809.7,9.52,10.74,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,30,1,1,750,699.9,10.74,12.44,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,31,1,1,750,420.5,12.44,13.58,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,32,1,1,750,473.9,13.58,10.81,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,33,2,2,1200,654.6,10.81,9.54,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,1,34,2,2,1200,689.7,9.54,7.92,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,1,35,2,2,1200,677.2,7.92,7.25,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,1,36,0,0,300,444.9,7.25,6.53,0.0,66.58,23.76,42.82,0,0.0
Proposed,bigbuckbunny,1,37,1,1,750,795.5,6.53,8.28,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,38,1,1,750,664.8,8.28,8.76,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,39,1,1,750,743.5,8.76,9.28,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,40,0,0,300,649.3,9.28,9.05,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,41,1,1,750,598.7,9.05,6.54,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,42,0,0,300,981.2,6.54,9.14,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,43,1,1,750,1001.1,9.14,10.25,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,44,0,0,300,505.3,10.25,9.07,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,45,1,1,750,571.6,9.07,8.28,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,46,1,1,750,594.1,8.28,6.79,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,47,1,1,750,930.5,6.79,8.8,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,0,0,0,300,1126.0,1.25,4.0,1.271,66.58,0.0,61.12,0,0.0
Proposed,bigbuckbunny,2,1,0,0,300,892.4,4.0,6.88,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,2,1,1,750,941.8,6.88,8.13,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,3,0,0,300,463.6,8.13,9.68,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,2,4,0,0,300,1052.0,9.68,11.3,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,5,1,1,750,355.7,11.3,7.43,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,6,1,1,750,952.1,7.43,9.56,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,7,1,1,750,1023.8,9.56,12.15,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,8,1,1,750,960.6,12.15,12.2,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,9,3,3,1850,955.9,12.2,13.1,0.0,95.49,11.76,83.73,0,0.0
Proposed,bigbuckbunny,2,10,2,2,1200,880.2,13.1,14.05,0.0,90.34,5.15,85.19,0,0.0
Proposed,bigbuckbunny,2,11,2,2,1200,1063.0,14.05,14.86,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,12,2,2,1200,934.7,14.86,14.29,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,14.29,15.14,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,15.14,17.05,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,17.05,16.93,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,16,2,2,1200,1103.0,16.93,14.41,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,14.41,14.15,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,18,2,2,1200,810.4,14.15,11.58,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,19,2,2,1200,971.9,11.58,11.69,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,20,1,1,750,704.0,11.69,7.94,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,21,1,1,750,1036.7,7.94,9.12,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,22,1,1,750,1087.5,9.12,11.12,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,23,1,1,750,1111.3,11.12,11.46,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,24,1,1,750,1138.6,11.46,11.22,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,25,2,2,1200,1073.9,11.22,11.94,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,26,2,2,1200,1065.4,11.94,11.05,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,27,2,2,1200,984.5,11.05,12.56,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,28,1,1,750,824.4,12.56,12.59,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,12.59,13.11,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,13.11,14.67,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,31,3,3,1850,1126.0,14.67,16.04,0.0,95.49,5.15,90.34,0,0.0
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,16.04,14.29,0.0,90.34,5.15,85.19,0,0.0
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,14.29,14.63,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,14.63,10.27,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,10.27,11.26,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,36,0,0,300,355.7,11.26,9.36,0.0,66.58,23.76,42.82,0,0.0
Proposed,bigbuckbunny,2,37,1,1,750,952.1,9.36,11.48,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,38,1,1,750,1023.8,11.48,13.19,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,39,1,1,750,960.6,13.19,14.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,40,1,1,750,955.9,14.5,11.32,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,41,2,2,1200,880.2,11.32,8.23,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,42,1,1,750,1063.0,8.23,9.0,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,43,1,1,750,934.7,9.0,9.91,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,44,1,1,750,994.6,9.91,7.33,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,45,2,2,1200,1000.9,7.33,6.95,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,46,1,1,750,858.9,6.95,7.15,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,47,1,1,750,1103.0,7.15,9.47,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,0,0,0,300,1070.0,1.09,4.0,1.557,66.58,0.0,59.89,0,0.0
