Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,21,0,0,300,529.7,6.78,7.51,0.0,66.58,0.0,66.58,0,0.0,1,750,4.173,83.73,65.78,0.7999999999999972,-4.173,0
Proposed,bigbuckbunny,1,22,1,1,750,362.6,7.51,6.06,0.0,83.73,17.15,66.58,0,0.0,1,750,1.448,83.73,77.5,-10.920000000000002,-1.448,1
Proposed,bigbuckbunny,1,23,0,0,300,712.6,6.06,8.45,0.0,66.58,17.15,49.43,0,0.0,1,750,0.028,83.73,83.61,-34.18,-0.028,0
Proposed,bigbuckbunny,1,24,0,0,300,475.3,8.45,7.48,0.0,66.58,0.0,66.58,0,0.0,1,750,8.415,83.73,47.54,19.04,-8.415,0
Proposed,bigbuckbunny,1,25,1,1,750,474.9,7.48,8.3,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,26,1,1,750,616.4,8.3,8.6,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,27,1,1,750,428.1,8.6,7.35,0.0,83.73,0.0,83.73,0,0.0,1,750,0.136,83.73,83.14,0.5900000000000034,-0.136,1
Proposed,bigbuckbunny,1,28,0,0,300,475.6,7.35,8.92,0.0,66.58,17.15,49.43,0,0.0,1,750,2.077,83.73,74.8,-25.369999999999997,-2.077,0
Proposed,bigbuckbunny,1,29,1,1,750,809.7,8.92,11.04,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,30,1,1,750,699.9,11.04,13.32,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,31,1,1,750,420.5,13.32,14.15,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,32,1,1,750,473.9,14.15,11.59,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,33,2,2,1200,654.6,11.59,10.12,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,34,2,2,1200,689.7,10.12,10.85,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,35,1,1,750,677.2,10.85,10.13,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,1,36,0,0,300,444.9,10.13,10.03,0.0,66.58,17.15,49.43,0,0.0,1,750,1.747,83.73,76.22,-26.79,-1.747,0
Proposed,bigbuckbunny,1,37,1,1,750,795.5,10.03,11.2,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,38,1,1,750,664.8,11.2,10.18,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,39,1,1,750,743.5,10.18,9.56,0.0,83.73,0.0,83.73,0,0.0,1,750,0.471,83.73,81.71,2.0200000000000102,-0.471,1
Proposed,bigbuckbunny,1,40,0,0,300,649.3,9.56,9.32,0.0,66.58,17.15,49.43,0,0.0,1,750,6.603,83.73,55.34,-5.910000000000004,-6.603,0
Proposed,bigbuckbunny,1,41,1,1,750,598.7,9.32,6.65,0.0,83.73,17.15,66.58,0,0.0,1,750,2.67,83.73,72.25,-5.670000000000002,-2.67,1
Proposed,bigbuckbunny,1,42,1,1,750,981.2,6.65,7.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,43,1,1,750,1001.1,7.0,8.04,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,44,0,0,300,505.3,8.04,7.55,0.0,66.58,17.15,49.43,0,0.0,1,750,5.833,83.73,58.65,-9.219999999999999,-5.833,0
Proposed,bigbuckbunny,1,45,1,1,750,571.6,7.55,6.54,0.0,83.73,17.15,66.58,0,0.0,1,750,1.012,83.73,79.38,-12.799999999999997,-1.012,1
Proposed,bigbuckbunny,1,46,1,1,750,594.1,6.54,6.71,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,47,1,1,750,930.5,6.71,8.57,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,0,0,0,300,1126.0,1.25,4.0,0.916,66.58,0.0,62.64,0,0.0,1,750,4.159,83.73,65.85,-3.2099999999999937,-3.243,0
Proposed,bigbuckbunny,2,1,0,0,300,892.4,4.0,6.19,0.0,66.58,0.0,66.58,0,0.0,1,750,0.514,83.73,81.52,-14.939999999999998,-0.514,0
Proposed,bigbuckbunny,2,2,1,1,750,941.8,6.19,6.71,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,3,0,0,300,463.6,6.71,7.78,0.0,66.58,17.15,49.43,0,0.0,1,750,2.811,83.73,71.64,-22.21,-2.811,0
Proposed,bigbuckbunny,2,4,0,0,300,1052.0,7.78,9.87,0.0,66.58,0.0,66.58,0,0.0,1,750,0.766,83.73,80.43,-13.850000000000009,-0.766,0
Proposed,bigbuckbunny,2,5,1,1,750,355.7,9.87,9.47,0.0,83.73,17.15,66.58,0,0.0,1,750,0.406,83.73,81.98,-15.400000000000006,-0.406,1
Proposed,bigbuckbunny,2,6,1,1,750,952.1,9.47,11.06,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,7,1,1,750,1023.8,11.06,13.25,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,8,1,1,750,960.6,13.25,14.45,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,9,3,3,1850,955.9,14.45,15.34,0.0,95.49,11.76,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,10,3,3,1850,880.2,15.34,15.98,0.0,95.49,0.0,95.49,0,0.0,2,1200,0.0,90.34,90.34,5.1499999999999915,0.0,0
Proposed,bigbuckbunny,2,11,2,2,1200,1063.0,15.98,17.8,0.0,90.34,5.15,85.19,0,0.0,2,1200,0.0,90.34,90.34,-5.150000000000006,0.0,1
