Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,3,1,1,1,750,1465.1,4.0,5.85,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,2,2,2,1200,835.4,5.85,5.72,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,3,1,1,750,338.2,5.72,4.0,6.37,83.73,6.61,49.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,4,1,1,750,799.4,4.0,4.0,5.35,83.73,0.0,60.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,5,1,1,750,852.7,4.0,4.79,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,6,1,1,750,608.4,4.79,4.0,0.147,83.73,0.0,83.1,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,7,1,1,750,376.5,4.0,4.0,4.79,83.73,0.0,63.13,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,8,1,1,750,1048.2,4.0,4.0,0.666,83.73,0.0,80.86,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,9,1,1,750,869.5,4.0,5.46,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,10,1,1,750,861.3,5.46,5.74,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,11,1,1,750,846.7,5.74,7.21,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,12,1,1,750,598.8,7.21,5.49,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,13,1,1,750,608.7,5.49,6.51,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,14,1,1,750,797.1,6.51,8.86,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,15,2,2,1200,1016.9,8.86,10.77,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,16,2,2,1200,1018.2,10.77,9.17,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,17,2,2,1200,1221.8,9.17,10.09,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,18,2,2,1200,1244.0,10.09,12.28,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,19,2,2,1200,967.8,12.28,11.68,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,20,2,2,1200,1259.1,11.68,9.54,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,21,2,2,1200,1059.4,9.54,9.15,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,22,2,2,1200,1076.0,9.15,8.64,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,23,2,2,1200,1209.8,8.64,7.06,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,24,1,1,750,901.4,7.06,4.0,1.05,83.73,6.61,72.61,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,25,1,1,750,854.8,4.0,4.94,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,26,1,1,750,839.1,4.94,4.06,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,27,1,1,750,1088.7,4.06,5.93,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,28,1,1,750,1224.0,5.93,5.48,0.0,83.73,0.0,83.73,0,0.0,
