Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,46,2,2,1200,858.9,4.0,4.0,4.191,90.34,0.0,72.32,0,0.0,2,1200,1.727,90.34,82.92,-10.600000000000009,2.4639999999999995,1
Proposed,bigbuckbunny,0,47,2,2,1200,1103.0,4.0,4.0,0.903,90.34,0.0,86.46,0,0.0,2,1200,0.903,90.34,86.46,0.0,0.0,1
Proposed,bigbuckbunny,1,0,2,2,1200,587.0,2.88,4.0,8.788,90.34,0.0,52.55,0,0.0,0,300,0.04,66.58,66.41,-13.86,8.748000000000001,0
Proposed,bigbuckbunny,1,1,2,2,1200,787.1,4.0,4.0,0.095,90.34,0.0,89.93,0,0.0,0,300,0.0,66.58,66.58,23.35000000000001,0.095,0
Proposed,bigbuckbunny,1,2,2,2,1200,677.6,4.0,4.0,4.454,90.34,0.0,71.19,0,0.0,0,300,0.0,66.58,66.58,4.609999999999999,4.454,0
Proposed,bigbuckbunny,1,3,2,2,1200,650.6,4.0,4.0,2.713,90.34,0.0,78.67,0,0.0,0,300,0.0,66.58,66.58,12.090000000000003,2.713,0
Proposed,bigbuckbunny,1,4,0,0,300,725.7,4.0,4.87,0.0,66.58,23.76,42.82,0,0.0,0,300,0.0,66.58,66.58,-23.759999999999998,0.0,1
Proposed,bigbuckbunny,1,5,2,2,1200,824.8,4.87,4.75,0.0,90.34,23.76,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0,0.0,0
Proposed,bigbuckbunny,1,6,2,2,1200,252.3,4.75,4.0,18.628,90.34,0.0,10.24,0,0.0,0,300,0.0,66.58,66.58,-56.339999999999996,18.628,0
Proposed,bigbuckbunny,1,7,0,0,300,761.1,4.0,5.72,0.0,66.58,23.76,42.82,0,0.0,0,300,0.0,66.58,66.58,-23.759999999999998,0.0,1
Proposed,bigbuckbunny,1,8,2,2,1200,502.5,5.72,4.0,11.712,90.34,23.76,16.22,0,0.0,0,300,0.0,66.58,66.58,-50.36,11.712,0
Proposed,bigbuckbunny,1,9,2,2,1200,618.3,4.0,4.0,2.674,90.34,0.0,78.84,0,0.0,1,750,0.0,83.73,66.58,12.260000000000005,2.674,0
Proposed,bigbuckbunny,1,10,2,2,1200,583.5,4.0,4.0,5.909,90.34,0.0,64.93,0,0.0,1,750,0.0,83.73,83.73,-18.799999999999997,5.909,0
Proposed,bigbuckbunny,1,11,2,2,1200,488.0,4.0,4.0,4.027,90.34,0.0,73.02,0,0.0,1,750,0.0,83.73,83.73,-10.710000000000008,4.027,0
Proposed,bigbuckbunny,1,12,0,0,300,778.7,4.0,5.95,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,1,13,2,2,1200,653.2,5.95,4.0,0.001,90.34,23.76,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.001,0
Proposed,bigbuckbunny,1,14,2,2,1200,587.3,4.0,4.29,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,15,2,2,1200,472.8,4.29,4.0,0.934,90.34,0.0,86.33,0,0.0,1,750,0.0,83.73,83.73,2.5999999999999943,0.934,0
Proposed,bigbuckbunny,1,16,2,2,1200,790.7,4.0,4.0,2.78,90.34,0.0,78.39,0,0.0,1,750,0.0,83.73,83.73,-5.340000000000003,2.78,0
Proposed,bigbuckbunny,1,17,2,2,1200,576.4,4.0,4.0,0.248,90.34,0.0,89.28,0,0.0,1,750,0.0,83.73,83.73,5.549999999999997,0.248,0
Proposed,bigbuckbunny,1,18,2,2,1200,793.4,4.0,4.0,0.47,90.34,0.0,88.32,0,0.0,1,750,0.0,83.73,83.73,4.589999999999989,0.47,0
Proposed,bigbuckbunny,1,19,2,2,1200,446.8,4.0,4.0,1.561,90.34,0.0,83.63,0,0.0,1,750,0.0,83.73,83.73,-0.10000000000000853,1.561,0
