Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,1,28,1,1,750,475.6,4.0,4.0,4.834,83.73,0.0,62.94,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,29,1,1,750,809.7,4.0,6.19,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,30,1,1,750,699.9,6.19,7.77,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,31,1,1,750,420.5,7.77,6.74,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,32,1,1,750,473.9,6.74,4.0,0.135,83.73,0.0,83.15,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,33,1,1,750,654.6,4.0,6.17,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,34,1,1,750,689.7,6.17,8.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,35,2,2,1200,677.2,8.18,8.91,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,36,1,1,750,444.9,8.91,4.0,1.12,83.73,6.61,72.3,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,37,1,1,750,795.5,4.0,4.67,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,38,1,1,750,664.8,4.67,4.19,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,39,1,1,750,743.5,4.19,4.0,0.664,83.73,0.0,80.88,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,40,1,1,750,649.3,4.0,4.0,5.036,83.73,0.0,62.08,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,41,1,1,750,598.7,4.0,4.0,2.658,83.73,0.0,72.3,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.0,0.068,83.73,0.0,83.44,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,43,1,1,750,1001.1,4.0,4.0,0.284,83.73,0.0,82.51,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,44,1,1,750,505.3,4.0,4.0,6.697,83.73,0.0,54.93,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.0,0.277,83.73,0.0,82.54,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,46,1,1,750,594.1,4.0,4.0,1.149,83.73,0.0,78.79,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,47,1,1,750,930.5,4.0,4.9,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,3.246,83.73,0.0,69.77,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,1,1,1,750,892.4,4.0,4.45,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,2,1,1,750,941.8,4.45,5.9,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,3,1,1,750,463.6,5.9,4.0,3.312,83.73,0.0,69.49,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,4,1,1,750,1052.0,4.0,4.0,2.938,83.73,0.0,71.09,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,5,1,1,750,355.7,4.0,4.0,2.422,83.73,0.0,73.32,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,6,1,1,750,952.1,4.0,4.8,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,7,1,1,750,1023.8,4.8,6.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,8,1,1,750,960.6,6.25,5.93,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,9,2,2,1200,955.9,5.93,6.61,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,10,2,2,1200,880.2,6.61,6.2,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,11,2,2,1200,1063.0,6.2,7.16,0.0,90.34,0.0,90.34,0,0.0,
