Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,2,37,1,1,750,952.1,4.0,5.85,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,38,1,1,750,1023.8,5.85,7.51,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,39,1,1,750,960.6,7.51,9.02,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,40,1,1,750,955.9,9.02,9.37,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,41,2,2,1200,880.2,9.37,10.83,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,42,2,2,1200,1063.0,10.83,11.68,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,43,2,2,1200,934.7,11.68,13.63,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,44,2,2,1200,994.6,13.63,11.22,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,45,2,2,1200,1000.9,11.22,11.05,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,46,2,2,1200,858.9,11.05,10.14,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,47,2,2,1200,1103.0,10.14,11.6,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,0,1,1,750,1070.0,1.09,4.0,2.016,83.73,0.0,75.06,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,1,1,1,750,1465.1,4.0,6.68,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,2,2,2,1200,835.4,6.68,6.86,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,3,2,2,1200,338.2,6.86,4.0,2.968,90.34,0.0,77.58,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,4,1,1,750,799.4,4.0,4.0,0.711,83.73,6.61,74.06,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,5,1,1,750,852.7,4.0,5.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,6,1,1,750,608.4,5.0,5.91,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,7,1,1,750,376.5,5.91,4.0,2.766,83.73,0.0,71.84,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,8,1,1,750,1048.2,4.0,4.0,1.027,83.73,0.0,79.32,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,9,1,1,750,869.5,4.0,4.0,0.147,83.73,0.0,83.1,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,10,1,1,750,861.3,4.0,4.0,0.5,83.73,0.0,81.58,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,11,1,1,750,846.7,4.0,5.09,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,12,1,1,750,598.8,5.09,4.0,5.873,83.73,0.0,58.48,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,13,1,1,750,608.7,4.0,4.0,1.856,83.73,0.0,75.75,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,14,1,1,750,797.1,4.0,5.4,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,15,1,1,750,1016.9,5.4,6.29,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,16,1,1,750,1018.2,6.29,5.39,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,17,1,1,750,1221.8,5.39,6.91,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,18,2,2,1200,1244.0,6.91,8.14,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,19,2,2,1200,967.8,8.14,8.69,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,20,1,1,750,1259.1,8.69,9.62,0.0,83.73,6.61,77.12,0,0.0,
