Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,3,41,2,2,1200,1176.1,28.66,29.35,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,42,2,2,1200,954.2,29.35,26.59,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,43,2,2,1200,1010.0,26.59,23.97,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,44,1,1,750,904.9,23.97,20.91,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,45,2,2,1200,896.6,20.91,21.01,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,46,1,1,750,742.8,21.01,20.6,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,47,1,1,750,427.9,20.6,18.19,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,0,0,0,300,891.0,1.78,4.0,0.426,66.58,0.0,23.96,0,0.0
Proposed,bigbuckbunny,4,1,0,0,300,891.2,4.0,6.77,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,2,0,0,300,890.8,6.77,9.75,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,3,0,0,300,879.8,9.75,12.26,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,4,0,0,300,841.8,12.26,13.07,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,5,0,0,300,900.4,13.07,15.21,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,6,0,0,300,897.6,15.21,17.66,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,7,0,0,300,884.1,17.66,19.98,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,8,0,0,300,901.1,19.98,21.87,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,9,0,0,300,882.9,21.87,24.47,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,10,0,0,300,901.2,24.47,27.28,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,4,11,1,1,750,900.7,27.28,29.8,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,4,12,1,1,750,901.6,29.8,30.0,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,13,2,2,1200,900.5,30.0,30.0,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,14,2,2,1200,900.3,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,15,2,2,1200,897.1,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,16,1,1,750,902.5,30.0,29.47,0.0,83.73,6.61,77.12,0,0.0
