Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,2,0,300,677.6,7.03,9.38,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,3,1,750,650.6,9.38,10.21,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,4,1,750,725.7,10.21,9.16,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,5,1,750,824.8,9.16,11.46,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,6,1,750,252.3,11.46,10.6,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,7,1,750,761.1,10.6,13.03,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,8,1,750,502.5,13.03,10.33,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,9,1,750,618.3,10.33,11.67,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,10,1,750,583.5,11.67,13.44,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,11,1,750,488.0,13.44,12.67,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,12,1,750,778.7,12.67,10.17,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,13,1,750,653.2,10.17,10.95,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,14,1,750,587.3,10.95,9.39,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,15,1,750,472.8,9.39,8.01,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,16,0,300,790.7,8.01,8.29,0.0,66.58,17.15,49.43,1,750,5.211,83.73,61.32,-11.89,-5.211,0
Proposed,bigbuckbunny,1,17,0,300,576.4,8.29,9.72,0.0,66.58,0.0,66.58,1,750,2.441,83.73,73.24,-6.659999999999997,-2.441,0
Proposed,bigbuckbunny,1,18,0,300,793.4,9.72,11.78,0.0,66.58,0.0,66.58,1,750,0.849,83.73,80.08,-13.5,-0.849,0
Proposed,bigbuckbunny,1,19,1,750,446.8,11.78,9.27,0.0,83.73,17.15,66.58,1,750,2.51,83.73,72.94,-6.359999999999999,-2.51,1
Proposed,bigbuckbunny,1,20,1,750,561.7,9.27,4.0,1.676,83.73,0.0,76.52,1,750,6.944,83.73,53.87,22.65,-5.268,1
Proposed,bigbuckbunny,1,21,1,750,529.7,4.0,4.0,1.188,83.73,0.0,78.62,1,750,1.188,83.73,78.62,0.0,0.0,1
Proposed,bigbuckbunny,1,22,1,750,362.6,4.0,4.0,4.687,83.73,0.0,63.58,1,750,4.687,83.73,63.58,0.0,0.0,1
Proposed,bigbuckbunny,1,23,1,750,712.6,4.0,5.42,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,24,1,750,475.3,5.42,4.0,3.53,83.73,0.0,68.55,1,750,3.53,83.73,68.55,0.0,0.0,1
Proposed,bigbuckbunny,1,25,1,750,474.9,4.0,4.38,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,26,1,750,616.4,4.38,5.7,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,27,1,750,428.1,5.7,4.85,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
