Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,15,1,1,750,472.8,10.19,9.5,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,16,1,1,750,790.7,9.5,7.82,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,17,1,1,750,576.4,7.82,7.35,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,18,1,1,750,793.4,7.35,7.16,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,19,1,1,750,446.8,7.16,5.86,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,20,1,1,750,561.7,5.86,4.0,3.844,83.73,0.0,67.2,0,0.0,1,750,3.844,83.73,67.2,0.0,0.0,1
Proposed,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,1.522,83.73,0.0,77.18,0,0.0,1,750,1.522,83.73,77.18,0.0,0.0,1
Proposed,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,2.007,83.73,0.0,75.1,0,0.0,1,750,2.007,83.73,75.1,0.0,0.0,1
Proposed,bigbuckbunny,1,23,1,1,750,712.6,4.0,4.0,1.704,83.73,0.0,76.4,0,0.0,1,750,1.704,83.73,76.4,0.0,0.0,1
Proposed,bigbuckbunny,1,24,1,1,750,475.3,4.0,4.0,6.143,83.73,0.0,57.31,0,0.0,1,750,6.143,83.73,57.31,0.0,0.0,1
Proposed,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,0.64,83.73,0.0,80.98,0,0.0,1,750,0.64,83.73,80.98,0.0,0.0,1
Proposed,bigbuckbunny,1,26,1,1,750,616.4,4.0,4.0,1.288,83.73,0.0,78.19,0,0.0,1,750,1.288,83.73,78.19,0.0,0.0,1
Proposed,bigbuckbunny,1,27,1,1,750,428.1,4.0,4.42,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,28,1,1,750,475.6,4.42,4.0,2.448,83.73,0.0,73.2,0,0.0,1,750,2.448,83.73,73.2,0.0,0.0,1
Proposed,bigbuckbunny,1,29,1,1,750,809.7,4.0,5.21,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,30,1,1,750,699.9,5.21,6.91,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,31,1,1,750,420.5,6.91,8.06,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,32,1,1,750,473.9,8.06,5.29,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,33,1,1,750,654.6,5.29,5.99,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,34,1,1,750,689.7,5.99,6.48,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,35,1,1,750,677.2,6.48,7.56,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,36,1,1,750,444.9,7.56,4.0,4.232,83.73,0.0,65.53,0,0.0,1,750,4.232,83.73,65.53,0.0,0.0,1
Proposed,bigbuckbunny,1,37,1,1,750,795.5,4.0,5.75,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,38,1,1,750,664.8,5.75,6.23,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,39,1,1,750,743.5,6.23,6.75,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,40,1,1,750,649.3,6.75,4.0,3.825,83.73,0.0,67.28,0,0.0,1,750,3.825,83.73,67.28,0.0,0.0,1
Proposed,bigbuckbunny,1,41,1,1,750,598.7,4.0,4.0,2.509,83.73,0.0,72.94,0,0.0,1,750,2.509,83.73,72.94,0.0,0.0,1
Proposed,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.5,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,43,1,1,750,1001.1,4.5,5.61,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,44,1,1,750,505.3,5.61,4.0,7.347,83.73,0.0,52.14,0,0.0,1,750,7.347,83.73,52.14,0.0,0.0,1
Proposed,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.0,0.791,83.73,0.0,80.33,0,0.0,1,750,0.791,83.73,80.33,0.0,0.0,1
Proposed,bigbuckbunny,1,46,1,1,750,594.1,4.0,4.0,1.492,83.73,0.0,77.31,0,0.0,1,750,1.492,83.73,77.31,0.0,0.0,1
Proposed,bigbuckbunny,1,47,1,1,750,930.5,4.0,6.01,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,5.046,83.73,0.0,62.03,0,0.0,1,750,5.046,83.73,62.03,0.0,0.0,1
Proposed,bigbuckbunny,2,1,1,1,750,892.4,4.0,5.2,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,2,1,1,750,941.8,5.2,6.45,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,3,1,1,750,463.6,6.45,4.31,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,4,1,1,750,1052.0,4.31,4.0,1.639,83.73,0.0,76.68,0,0.0,1,750,1.639,83.73,76.68,0.0,0.0,1
Proposed,bigbuckbunny,2,5,1,1,750,355.7,4.0,4.0,3.864,83.73,0.0,67.12,0,0.0,1,750,3.864,83.73,67.12,0.0,0.0,1
Proposed,bigbuckbunny,2,6,1,1,750,952.1,4.0,6.12,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,7,1,1,750,1023.8,6.12,8.71,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,8,1,1,750,960.6,8.71,8.77,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,9,2,2,1200,955.9,8.77,10.76,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,10,2,2,1200,880.2,10.76,11.7,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,11,2,2,1200,1063.0,11.7,12.52,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,12,2,2,1200,934.7,12.52,11.95,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,11.95,12.79,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,12.79,14.71,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,14.71,14.58,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,16,2,2,1200,1103.0,14.58,12.06,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,12.06,11.8,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,18,2,2,1200,810.4,11.8,9.24,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,19,2,2,1200,971.9,9.24,9.34,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,20,1,1,750,704.0,9.34,5.6,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,21,1,1,750,1036.7,5.6,6.77,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,22,1,1,750,1087.5,6.77,8.77,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,23,1,1,750,1111.3,8.77,9.11,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,24,1,1,750,1138.6,9.11,8.88,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,25,2,2,1200,1073.9,8.88,9.6,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,26,1,1,750,1065.4,9.6,10.54,0.0,83.73,6.61,77.12,0,0.0,2,1200,0.0,90.34,90.34,-13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,27,2,2,1200,984.5,10.54,12.05,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,28,1,1,750,824.4,12.05,12.08,0.0,83.73,6.61,77.12,0,0.0,2,1200,0.0,90.34,90.34,-13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,12.08,12.6,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,12.6,14.16,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,31,3,3,1850,1126.0,14.16,15.53,0.0,95.49,5.15,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,0
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,15.53,13.78,0.0,90.34,5.15,85.19,0,0.0,2,1200,0.0,90.34,90.34,-5.150000000000006,0.0,1
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,13.78,14.12,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,14.12,9.76,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,9.76,10.75,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,36,1,1,750,355.7,10.75,4.0,4.001,83.73,6.61,59.92,0,0.0,1,750,0.0,83.73,83.73,-23.810000000000002,4.001,1
Proposed,bigbuckbunny,2,37,2,2,1200,952.1,4.0,4.99,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,38,1,1,750,1023.8,4.99,6.71,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,39,1,1,750,960.6,6.71,8.01,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,40,1,1,750,955.9,8.01,4.83,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,41,1,1,750,880.2,4.83,4.4,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,42,1,1,750,1063.0,4.4,5.17,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,43,1,1,750,934.7,5.17,6.08,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,44,1,1,750,994.6,6.08,4.0,0.504,83.73,0.0,81.56,0,0.0,1,750,0.0,83.73,83.73,-2.1700000000000017,0.504,1
Proposed,bigbuckbunny,2,45,1,1,750,1000.9,4.0,5.26,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,46,1,1,750,858.9,5.26,5.47,0.0,83.73,0.0,83.73,0,0.0,2,1200,1.234,90.34,85.03,-1.2999999999999972,-1.234,0
Proposed,bigbuckbunny,2,47,1,1,750,1103.0,5.47,7.79,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,0,1,1,750,1070.0,1.09,4.0,5.529,83.73,0.0,59.95,0,0.0,1,750,5.529,83.73,59.95,0.0,0.0,1
Proposed,bigbuckbunny,3,1,1,1,750,1465.1,4.0,6.29,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,2,1,1,750,835.4,6.29,7.2,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,3,1,1,750,338.2,7.2,4.0,1.218,83.73,0.0,78.49,0,0.0,1,750,1.218,83.73,78.49,0.0,0.0,1
Proposed,bigbuckbunny,3,4,2,2,1200,799.4,4.0,4.0,8.534,90.34,6.61,47.03,0,0.0,1,750,3.834,83.73,67.24,-20.209999999999994,4.700000000000001,0
Proposed,bigbuckbunny,3,5,1,1,750,852.7,4.0,4.72,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,3,6,1,1,750,608.4,4.72,5.78,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,7,1,1,750,376.5,5.78,5.95,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,8,1,1,750,1048.2,5.95,6.33,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,9,1,1,750,869.5,6.33,8.95,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,10,1,1,750,861.3,8.95,11.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
