Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,2,1,1,1,750,892.4,4.0,5.2,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,2,1,1,750,941.8,5.2,6.45,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,3,1,1,750,463.6,6.45,4.31,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,4,1,1,750,1052.0,4.31,4.0,1.639,83.73,0.0,76.68,0,0.0
Proposed,bigbuckbunny,2,5,1,1,750,355.7,4.0,4.0,3.864,83.73,0.0,67.12,0,0.0
Proposed,bigbuckbunny,2,6,1,1,750,952.1,4.0,6.12,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,7,1,1,750,1023.8,6.12,8.71,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,8,1,1,750,960.6,8.71,8.77,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,9,2,2,1200,955.9,8.77,10.76,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,10,2,2,1200,880.2,10.76,11.7,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,11,2,2,1200,1063.0,11.7,12.52,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,12,2,2,1200,934.7,12.52,11.95,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,11.95,12.79,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,12.79,14.71,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,14.71,14.58,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,16,2,2,1200,1103.0,14.58,12.06,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,12.06,11.8,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,18,2,2,1200,810.4,11.8,9.24,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,19,2,2,1200,971.9,9.24,9.34,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,20,1,1,750,704.0,9.34,5.6,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,21,1,1,750,1036.7,5.6,6.77,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,22,1,1,750,1087.5,6.77,8.77,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,23,1,1,750,1111.3,8.77,9.11,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,24,1,1,750,1138.6,9.11,8.88,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,25,2,2,1200,1073.9,8.88,9.6,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,26,1,1,750,1065.4,9.6,10.54,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,27,2,2,1200,984.5,10.54,12.05,0.0,90.34,6.61,83.73,0,0.0
