Method,Video,Episode,Seen,VMAF,Rebuffer,QoE,Switch,Max_Stall_s,Any_Stall
Proposed_Shielded,bigbuckbunny,19,1,86.46187500000003,0.0,4113.190000000002,4,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,1,81.45229166666668,0.2968375965451478,3608.3271814633326,32,0.57,1
Proposed_ShieldedQoE,bigbuckbunny,1,1,74.93541666666665,0.24467119478933466,3210.853130600447,26,0.47,1
Proposed_ShieldedQoE,bigbuckbunny,2,1,81.03916666666667,0.2594620371047141,3566.7332888758956,28,0.498,1
Proposed_ShieldedQoE,bigbuckbunny,3,1,80.62604166666668,0.38734283935993885,3562.0101748428924,21,0.744,1
Proposed_ShieldedQoE,bigbuckbunny,4,1,81.39645833333334,0.2219703089763878,3556.781700676534,30,0.426,1
Proposed_ShieldedQoE,bigbuckbunny,5,1,78.62000000000002,0.016479779986231187,3386.505882242644,33,0.032,1
Proposed_ShieldedQoE,bigbuckbunny,6,1,74.93541666666665,1.0352868543109452,3059.054923972298,26,1.988,1
Proposed_ShieldedQoE,bigbuckbunny,7,1,78.20687500000001,0.0,3375.2000000000003,28,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,8,1,81.53416666666668,0.0,3627.0900000000006,30,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,9,1,80.56958333333333,0.2752136987169271,3389.7389698463494,35,0.528,1
Proposed_ShieldedQoE,bigbuckbunny,10,1,76.22687499999999,0.5389368028593554,3092.3641338510033,30,1.035,1
Proposed_ShieldedQoE,bigbuckbunny,11,1,82.11104166666668,0.22972016733635706,3623.8937278714197,26,0.441,1
Proposed_ShieldedQoE,bigbuckbunny,12,1,85.68270833333337,0.0,3788.290000000001,42,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,13,1,75.155,0.5662731310373449,3172.86555884083,25,1.087,1
Proposed_ShieldedQoE,bigbuckbunny,14,1,86.53500000000001,0.0,3949.4300000000003,27,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,15,1,78.20687500000001,0.0,3443.8,25,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,16,1,85.85083333333337,0.0,3859.540000000002,37,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,17,1,76.22687499999999,0.5997554472734699,3080.6869541234933,30,1.152,1
