Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff
Proposed_Shielded,bigbuckbunny,2,0,0,0,300,1126.0,1.25,4.0,0.498,66.58,0.0,16.76,0,0.0,0,300,0.498,66.58,16.76,0.0
Proposed_Shielded,bigbuckbunny,2,1,0,0,300,892.4,4.0,6.77,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,2,2,0,0,300,941.8,6.77,9.81,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,2,3,0,0,300,463.6,9.81,10.97,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,2,4,0,0,300,1052.0,10.97,12.42,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,2,5,0,0,300,355.7,12.42,11.7,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,2,6,0,0,300,952.1,11.7,14.24,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,66.58,0.0
Proposed_Shielded,bigbuckbunny,2,7,0,0,300,1023.8,14.24,16.78,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,2,8,0,0,300,960.6,16.78,18.81,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,2,9,0,0,300,955.9,18.81,21.52,0.0,66.58,0.0,66.58,0,0.0,2,1200,0.0,90.34,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,2,10,0,0,300,880.2,21.52,24.3,0.0,66.58,0.0,66.58,0,0.0,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_Shielded,bigbuckbunny,2,11,0,0,300,1063.0,24.3,27.79,0.0,66.58,0.0,66.58,0,0.0,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_Shielded,bigbuckbunny,2,12,0,0,300,934.7,27.79,30.0,0.0,66.58,0.0,66.58,0,0.0,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_Shielded,bigbuckbunny,2,13,1,1,750,994.6,30.0,30.0,0.0,83.73,17.15,66.58,0,0.0,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_Shielded,bigbuckbunny,2,14,2,2,1200,1000.9,30.0,30.0,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,15,2,2,1200,858.9,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0
Proposed_Shielded,bigbuckbunny,2,16,1,1,750,1103.0,30.0,30.0,0.0,83.73,6.61,77.12,0,0.0,2,1200,0.0,90.34,90.34,-13.219999999999999
Proposed_Shielded,bigbuckbunny,2,17,1,1,750,966.8,30.0,30.0,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,18,2,2,1200,810.4,30.0,30.0,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,19,2,2,1200,971.9,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0
Proposed_Shielded,bigbuckbunny,2,20,1,1,750,704.0,30.0,26.57,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,77.12,0.0
Proposed_Shielded,bigbuckbunny,2,21,1,1,750,1036.7,26.57,27.86,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,22,1,1,750,1087.5,27.86,29.14,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,23,1,1,750,1111.3,29.14,29.47,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,24,1,1,750,1138.6,29.47,28.78,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,25,1,1,750,1073.9,28.78,29.19,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,26,1,1,750,1065.4,29.19,30.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,27,1,1,750,984.5,30.0,30.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,28,1,1,750,824.4,30.0,26.83,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,29,1,1,750,1037.6,26.83,28.8,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,30,2,2,1200,1055.3,28.8,30.0,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,31,2,2,1200,1126.0,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999
Proposed_Shielded,bigbuckbunny,2,32,2,2,1200,892.4,30.0,29.08,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999
Proposed_Shielded,bigbuckbunny,2,33,2,2,1200,941.8,29.08,30.0,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999
Proposed_Shielded,bigbuckbunny,2,34,2,2,1200,463.6,30.0,27.19,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999
Proposed_Shielded,bigbuckbunny,2,35,1,1,750,1052.0,27.19,29.1,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,36,1,1,750,355.7,29.1,23.91,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,37,1,1,750,952.1,23.91,25.76,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0
Proposed_Shielded,bigbuckbunny,2,38,1,1,750,1023.8,25.76,27.89,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,39,1,1,750,960.6,27.89,29.98,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,40,1,1,750,955.9,29.98,28.68,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,41,1,1,750,880.2,28.68,29.92,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,42,1,1,750,1063.0,29.92,30.0,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,43,1,1,750,934.7,30.0,29.53,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,44,1,1,750,994.6,29.53,27.1,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,45,1,1,750,1000.9,27.1,28.92,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,46,1,1,750,858.9,28.92,29.11,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,2,47,1,1,750,1103.0,29.11,30.0,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_Shielded,bigbuckbunny,3,0,0,0,300,1070.0,1.09,4.0,0.744,66.58,0.0,-7.79,0,0.0,0,300,0.744,66.58,-7.79,0.0
Proposed_Shielded,bigbuckbunny,3,1,0,0,300,1465.1,4.0,7.25,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,3,2,0,0,300,835.4,7.25,10.17,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,3,3,0,0,300,338.2,10.17,10.27,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,3,4,0,0,300,799.4,10.27,10.92,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,3,5,0,0,300,852.7,10.92,12.95,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_Shielded,bigbuckbunny,3,6,0,0,300,608.4,12.95,14.67,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,66.58,0.0
Proposed_Shielded,bigbuckbunny,3,7,0,0,300,376.5,14.67,14.71,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,3,8,0,0,300,1048.2,14.71,16.91,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,3,9,0,0,300,869.5,16.91,19.49,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
