Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,1,31,0,300,420.5,8.22,10.04,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,32,0,300,473.9,10.04,9.36,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,33,0,300,654.6,9.36,11.74,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,34,0,300,689.7,11.74,14.34,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,35,1,750,677.2,14.34,14.1,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,1,36,1,750,444.9,14.1,9.98,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,37,1,750,795.5,9.98,11.54,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,38,1,750,664.8,11.54,13.41,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,39,1,750,743.5,13.41,15.32,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,40,1,750,649.3,15.32,14.32,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,41,1,750,598.7,14.32,14.69,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,42,1,750,981.2,14.69,16.27,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,43,1,750,1001.1,16.27,18.56,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,44,1,750,505.3,18.56,14.08,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,45,1,750,571.6,14.08,13.07,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,46,1,750,594.1,13.07,12.3,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,47,1,750,930.5,12.3,13.03,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,0,0,300,1126.0,1.25,4.0,0.013,66.58,0.0,66.52
Proposed,bigbuckbunny,2,1,1,750,892.4,4.0,5.8,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,2,2,1,750,941.8,5.8,7.25,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,3,1,750,463.6,7.25,7.78,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,4,1,750,1052.0,7.78,7.24,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,5,1,750,355.7,7.24,4.25,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,6,0,300,952.1,4.25,7.05,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,2,7,0,300,1023.8,7.05,9.53,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,2,8,0,300,960.6,9.53,11.19,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,2,9,1,750,955.9,11.19,13.02,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,2,10,1,750,880.2,13.02,14.54,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,11,1,750,1063.0,14.54,14.5,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,12,1,750,934.7,14.5,12.93,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,13,1,750,994.6,12.93,13.85,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,14,1,750,1000.9,13.85,15.82,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,15,1,750,858.9,15.82,17.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,16,1,750,1103.0,17.13,17.36,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,17,1,750,966.8,17.36,19.85,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,18,1,750,810.4,19.85,22.36,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,19,1,750,971.9,22.36,24.71,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,20,1,750,704.0,24.71,23.97,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,21,1,750,1036.7,23.97,26.81,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,22,1,750,1087.5,26.81,28.8,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,23,1,750,1111.3,28.8,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,24,1,750,1138.6,30.0,29.94,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,25,1,750,1073.9,29.94,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,26,1,750,1065.4,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,27,1,750,984.5,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,28,1,750,824.4,30.0,27.78,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,29,1,750,1037.6,27.78,27.76,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,30,1,750,1055.3,27.76,27.88,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,31,1,750,1126.0,27.88,29.84,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,32,1,750,892.4,29.84,27.63,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,33,1,750,941.8,27.63,28.82,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,34,1,750,463.6,28.82,27.6,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,35,1,750,1052.0,27.6,28.88,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,36,1,750,355.7,28.88,22.72,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,37,1,750,952.1,22.72,24.68,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,38,1,750,1023.8,24.68,27.3,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,39,1,750,960.6,27.3,29.68,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,40,1,750,955.9,29.68,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,41,1,750,880.2,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,42,1,750,1063.0,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,43,1,750,934.7,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,44,1,750,994.6,30.0,29.69,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,45,1,750,1000.9,29.69,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,46,1,750,858.9,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,2,47,1,750,1103.0,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,0,0,300,1070.0,1.09,4.0,0.234,66.58,0.0,65.58
Proposed,bigbuckbunny,3,1,1,750,1465.1,4.0,6.66,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,3,2,1,750,835.4,6.66,7.79,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,3,1,750,338.2,7.79,7.03,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,4,0,300,799.4,7.03,8.64,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,3,5,0,300,852.7,8.64,11.47,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,3,6,1,750,608.4,11.47,10.8,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,3,7,1,750,376.5,10.8,4.43,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,8,0,300,1048.2,4.43,6.29,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,3,9,1,750,869.5,6.29,7.9,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,3,10,1,750,861.3,7.9,9.37,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,11,1,750,846.7,9.37,8.3,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,12,1,750,598.8,8.3,4.0,0.398,83.73,0.0,82.02
Proposed,bigbuckbunny,3,13,1,750,608.7,4.0,4.0,1.027,83.73,0.0,79.31
Proposed,bigbuckbunny,3,14,1,750,797.1,4.0,5.45,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,15,1,750,1016.9,5.45,7.18,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,16,1,750,1018.2,7.18,7.1,0.0,83.73,0.0,83.73
