Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff
Proposed_ShieldedQoE,bigbuckbunny,1,23,0,0,300,712.6,21.21,22.92,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,24,0,0,300,475.3,22.92,22.43,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,25,0,0,300,474.9,22.43,23.18,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,26,0,0,300,616.4,23.18,25.78,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,27,5,5,6000,428.1,25.78,24.76,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,28,0,0,300,475.6,24.76,23.78,0.0,66.58,30.56,36.02,0,0.0,1,750,0.0,83.73,83.73,-47.71
Proposed_ShieldedQoE,bigbuckbunny,1,29,0,0,300,809.7,23.78,26.75,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,30,3,3,1850,699.9,26.75,28.32,0.0,95.49,28.91,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,31,1,1,750,420.5,28.32,27.36,0.0,83.73,11.76,71.97,0,0.0,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,1,32,0,0,300,473.9,27.36,29.04,0.0,66.58,17.15,49.43,0,0.0,1,750,0.0,83.73,83.73,-34.300000000000004
Proposed_ShieldedQoE,bigbuckbunny,1,33,5,5,6000,654.6,29.04,30.0,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,34,1,1,750,689.7,30.0,30.0,0.0,83.73,13.41,70.32,0,0.0,1,750,0.0,83.73,83.73,-13.41000000000001
Proposed_ShieldedQoE,bigbuckbunny,1,35,1,1,750,677.2,30.0,30.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,36,1,1,750,444.9,30.0,26.65,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
