Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,29,2,1200,809.7,9.13,9.47,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,30,2,1200,699.9,9.47,8.82,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,31,1,750,420.5,8.82,8.2,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,1,32,0,300,473.9,8.2,8.56,0.0,66.58,17.15,49.43,1,750,2.92,83.73,71.17,-21.740000000000002,-2.92,0
Proposed,bigbuckbunny,1,33,1,750,654.6,8.56,8.6,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,34,1,750,689.7,8.6,7.71,0.0,83.73,0.0,83.73,1,750,0.853,83.73,80.06,3.6700000000000017,-0.853,1
Proposed,bigbuckbunny,1,35,1,750,677.2,7.71,7.8,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,36,0,300,444.9,7.8,5.16,0.0,66.58,17.15,49.43,1,750,12.501,83.73,29.98,19.45,-12.501,0
Proposed,bigbuckbunny,1,37,0,300,795.5,5.16,8.05,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,38,1,750,664.8,8.05,6.85,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,39,0,300,743.5,6.85,9.03,0.0,66.58,17.15,49.43,1,750,0.518,83.73,81.5,-32.07,-0.518,0
Proposed,bigbuckbunny,1,40,0,300,649.3,9.03,9.73,0.0,66.58,0.0,66.58,1,750,4.236,83.73,65.52,1.0600000000000023,-4.236,0
Proposed,bigbuckbunny,1,41,2,1200,598.7,9.73,7.89,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,42,1,750,981.2,7.89,8.91,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,1,43,2,1200,1001.1,8.91,9.81,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,44,0,300,505.3,9.81,10.49,0.0,66.58,23.76,42.82,1,750,0.869,83.73,79.99,-37.169999999999995,-0.869,0
Proposed,bigbuckbunny,1,45,2,1200,571.6,10.49,10.36,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
