Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,1,19,0,0,300,446.8,4.0,4.83,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,20,0,0,300,561.7,4.83,5.13,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,1,21,1,1,750,529.7,5.13,4.68,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,22,1,1,750,362.6,4.68,4.0,3.701,83.73,0.0,67.81,0,0.0
Proposed,bigbuckbunny,1,23,1,1,750,712.6,4.0,4.4,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,24,0,0,300,475.3,4.4,4.99,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,25,1,1,750,474.9,4.99,4.91,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,26,1,1,750,616.4,4.91,4.93,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,27,1,1,750,428.1,4.93,6.13,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,28,1,1,750,475.6,6.13,4.0,0.97,83.73,0.0,79.56,0,0.0
Proposed,bigbuckbunny,1,29,1,1,750,809.7,4.0,6.17,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,30,1,1,750,699.9,6.17,7.89,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,31,1,1,750,420.5,7.89,6.93,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,32,1,1,750,473.9,6.93,4.29,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,33,1,1,750,654.6,4.29,5.67,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,34,1,1,750,689.7,5.67,4.9,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,35,1,1,750,677.2,4.9,4.0,0.46,83.73,0.0,81.75,0,0.0
Proposed,bigbuckbunny,1,36,0,0,300,444.9,4.0,4.0,0.956,66.58,17.15,45.32,0,0.0
Proposed,bigbuckbunny,1,37,1,1,750,795.5,4.0,4.52,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,38,1,1,750,664.8,4.52,4.0,1.294,83.73,0.0,78.17,0,0.0
Proposed,bigbuckbunny,1,39,1,1,750,743.5,4.0,5.02,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,40,0,0,300,649.3,5.02,4.57,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,41,1,1,750,598.7,4.57,4.0,0.305,83.73,17.15,65.27,0,0.0
Proposed,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.27,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,43,1,1,750,1001.1,4.27,4.91,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,44,1,1,750,505.3,4.91,4.0,3.434,83.73,0.0,68.96,0,0.0
Proposed,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.71,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,46,1,1,750,594.1,4.71,5.7,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,47,1,1,750,930.5,5.7,7.56,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,0,0,0,300,1126.0,1.25,4.0,0.613,66.58,0.0,63.94,0,0.0
Proposed,bigbuckbunny,2,1,1,1,750,892.4,4.0,4.5,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,2,1,1,750,941.8,4.5,6.24,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,3,1,1,750,463.6,6.24,6.29,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,4,1,1,750,1052.0,6.29,6.07,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,5,2,2,1200,355.7,6.07,4.0,2.096,90.34,6.61,74.72,0,0.0
Proposed,bigbuckbunny,2,6,1,1,750,952.1,4.0,5.87,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,7,1,1,750,1023.8,5.87,7.7,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,8,1,1,750,960.6,7.7,8.21,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,9,1,1,750,955.9,8.21,10.09,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,10,1,1,750,880.2,10.09,12.57,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,11,1,1,750,1063.0,12.57,15.11,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,12,1,1,750,934.7,15.11,14.43,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,14.43,14.55,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,14.55,13.4,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,13.4,11.6,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,16,1,1,750,1103.0,11.6,10.37,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,10.37,10.96,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,18,1,1,750,810.4,10.96,9.51,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,19,1,1,750,971.9,9.51,9.88,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,20,1,1,750,704.0,9.88,6.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,21,2,2,1200,1036.7,6.5,6.86,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,22,1,1,750,1087.5,6.86,8.06,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,23,1,1,750,1111.3,8.06,9.75,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,24,1,1,750,1138.6,9.75,10.19,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,25,2,2,1200,1073.9,10.19,11.3,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,26,2,2,1200,1065.4,11.3,11.63,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,27,2,2,1200,984.5,11.63,13.68,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,28,1,1,750,824.4,13.68,13.58,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,13.58,15.29,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,15.29,16.87,0.0,90.34,0.0,90.34,0,0.0
