Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,1,37,1,1,750,795.5,4.0,5.51,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,38,1,1,750,664.8,5.51,5.53,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,39,1,1,750,743.5,5.53,5.7,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,40,1,1,750,649.3,5.7,4.0,3.17,83.73,0.0,70.1,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,41,1,1,750,598.7,4.0,4.0,2.594,83.73,0.0,72.58,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.66,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,43,1,1,750,1001.1,4.66,5.52,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,44,1,1,750,505.3,5.52,4.0,4.181,83.73,0.0,65.75,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,45,1,1,750,571.6,4.0,5.06,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,46,1,1,750,594.1,5.06,4.97,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,47,1,1,750,930.5,4.97,7.42,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,3.529,83.73,0.0,68.56,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,1,1,1,750,892.4,4.0,5.03,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,2,2,2,1200,941.8,5.03,5.79,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,3,1,1,750,463.6,5.79,4.0,1.894,83.73,6.61,68.97,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,4,1,1,750,1052.0,4.0,4.0,0.705,83.73,0.0,80.7,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,5,1,1,750,355.7,4.0,4.0,1.142,83.73,0.0,78.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,6,1,1,750,952.1,4.0,6.07,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,7,1,1,750,1023.8,6.07,7.91,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,8,1,1,750,960.6,7.91,8.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,9,2,2,1200,955.9,8.0,9.99,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,10,2,2,1200,880.2,9.99,11.81,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,11,2,2,1200,1063.0,11.81,12.97,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,12,2,2,1200,934.7,12.97,9.96,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,13,2,2,1200,994.6,9.96,10.06,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,14,2,2,1200,1000.9,10.06,9.13,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,15,2,2,1200,858.9,9.13,6.67,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,16,1,1,750,1103.0,6.67,5.48,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,17,1,1,750,966.8,5.48,6.1,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,18,1,1,750,810.4,6.1,6.43,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,19,1,1,750,971.9,6.43,8.12,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,20,1,1,750,704.0,8.12,4.0,0.799,83.73,0.0,80.29,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,21,1,1,750,1036.7,4.0,5.6,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,22,1,1,750,1087.5,5.6,6.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,23,2,2,1200,1111.3,6.56,8.01,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,24,1,1,750,1138.6,8.01,7.81,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,25,2,2,1200,1073.9,7.81,9.16,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,26,2,2,1200,1065.4,9.16,9.68,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,27,2,2,1200,984.5,9.68,10.19,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,28,2,2,1200,824.4,10.19,8.95,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,29,2,2,1200,1037.6,8.95,11.08,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,30,2,2,1200,1055.3,11.08,12.45,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,31,2,2,1200,1126.0,12.45,14.74,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,32,2,2,1200,892.4,14.74,12.62,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,33,2,2,1200,941.8,12.62,13.21,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,34,2,2,1200,463.6,13.21,7.31,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,35,1,1,750,1052.0,7.31,8.92,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,36,1,1,750,355.7,8.92,4.0,5.283,83.73,0.0,61.01,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,37,1,1,750,952.1,4.0,5.92,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,38,1,1,750,1023.8,5.92,7.34,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,39,1,1,750,960.6,7.34,8.37,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,40,1,1,750,955.9,8.37,6.35,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,41,1,1,750,880.2,6.35,5.86,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,42,1,1,750,1063.0,5.86,6.78,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,43,1,1,750,934.7,6.78,7.41,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,44,1,1,750,994.6,7.41,6.49,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,45,2,2,1200,1000.9,6.49,7.8,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,46,2,2,1200,858.9,7.8,7.28,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,47,2,2,1200,1103.0,7.28,9.18,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,0,1,1,750,1070.0,1.09,4.0,3.933,83.73,0.0,66.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,1,1,1,750,1465.1,4.0,6.19,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,2,2,2,1200,835.4,6.19,6.54,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,3,1,1,750,338.2,6.54,4.0,3.996,83.73,6.61,59.94,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,4,1,1,750,799.4,4.0,4.0,2.192,83.73,0.0,74.31,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,5,1,1,750,852.7,4.0,5.86,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,6,2,2,1200,608.4,5.86,5.03,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,7,1,1,750,376.5,5.03,4.0,0.861,83.73,6.61,73.42,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,8,1,1,750,1048.2,4.0,4.42,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,9,2,2,1200,869.5,4.42,6.21,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,10,2,2,1200,861.3,6.21,7.98,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,11,2,2,1200,846.7,7.98,8.42,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,12,1,1,750,598.8,8.42,5.58,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,13,1,1,750,608.7,5.58,5.6,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,14,1,1,750,797.1,5.6,5.72,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,15,1,1,750,1016.9,5.72,6.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,16,1,1,750,1018.2,6.32,4.69,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,17,1,1,750,1221.8,4.69,6.01,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,18,1,1,750,1244.0,6.01,7.62,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,19,2,2,1200,967.8,7.62,7.92,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,20,1,1,750,1259.1,7.92,6.93,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,21,2,2,1200,1059.4,6.93,7.17,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,22,1,1,750,1076.0,7.17,8.1,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,23,2,2,1200,1209.8,8.1,9.76,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,24,2,2,1200,901.4,9.76,5.26,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,25,2,2,1200,854.8,5.26,5.94,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,26,1,1,750,839.1,5.94,7.18,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,27,1,1,750,1088.7,7.18,9.21,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,28,2,2,1200,1224.0,9.21,9.68,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,29,2,2,1200,1011.0,9.68,11.75,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,30,2,2,1200,1048.2,11.75,13.11,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,31,2,2,1200,1045.6,13.11,15.27,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,32,2,2,1200,876.3,15.27,13.03,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,33,2,2,1200,824.0,13.03,13.14,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,34,2,2,1200,1157.6,13.14,13.18,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,35,2,2,1200,894.8,13.18,12.69,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,36,2,2,1200,1077.9,12.69,9.19,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,37,2,2,1200,1041.8,9.19,10.15,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,38,2,2,1200,1157.7,10.15,10.49,0.0,90.34,0.0,90.34,0,0.0,
