episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,grad_factor
0,24,sintel,1,750,4.0,531.659947415,1.6427045418530977,87.43,77.73442024531963,1.0,1.0
0,25,sintel,1,750,4.0,492.534958767,2.090938209767134,87.43,75.14888294336444,1.0,1.0
0,26,sintel,1,750,4.0,719.274853801,0.17086734528050496,87.43,86.22438930956538,1.0,1.0
0,27,sintel,1,750,4.0,686.2371579449999,0.37166650809725166,87.43,85.0661235146728,1.0,1.0
0,28,sintel,1,750,4.283367199848759,807.1822429910001,0.0,87.43,87.21566734399698,1.0,1.0
0,29,sintel,2,1200,4.0,793.628019324,1.7648063564333958,95.19,80.91010279031238,1.0,1.0
0,30,sintel,1,750,4.0,749.418755803,0.0031023733660218156,87.43,83.31210464176026,1.0,1.0
0,31,sintel,2,1200,4.0,990.857747224,0.8442877026977307,95.19,86.21991213028274,1.0,1.0
0,32,sintel,1,750,4.88857816400181,964.189415042,0.0,87.43,83.34777156328005,1.0,1.0
0,33,sintel,2,1200,4.0,572.6208,3.4939325656119227,95.19,70.93601866043207,1.0,1.0
0,34,sintel,1,750,4.0,725.924353019,0.13266201570934122,87.43,82.56476834802413,1.0,1.0
0,35,sintel,2,1200,4.0,536.965223563,4.939126389135394,95.19,62.5997360320781,1.0,1.0
0,36,sintel,1,750,4.297591175501585,810.283289125,0.0,87.43,83.33595182351004,1.0,1.0
0,37,sintel,2,1200,4.0,759.944944415,2.0186558569660153,95.19,79.44582779338008,1.0,1.0
0,38,sintel,1,750,4.0,363.85622119799996,4.245014995545418,87.43,58.843564901495284,1.0,1.0
0,39,sintel,2,1200,4.0,361.492461027,9.278285213371259,95.19,37.57025296941484,1.0,1.0
0,40,sintel,1,750,4.0,439.670636271,2.8232894182883044,87.43,67.04447611427595,1.0,1.0
0,41,sintel,1,750,4.0,452.328430062,2.6323489761384096,87.43,72.02587404792034,1.0,1.0
0,42,sintel,1,750,4.330381110332736,817.523587653,0.0,87.43,87.21660762220667,1.0,1.0
0,43,sintel,1,750,4.001899845760038,693.083743842,0.0,87.43,87.2100379969152,1.0,1.0
0,44,sintel,1,750,4.0,554.2171846440001,1.411140534658771,87.43,79.07014627673851,1.0,1.0
0,45,sintel,1,750,4.0,499.064343164,2.0112489323128333,87.43,75.60855300871853,1.0,1.0
0,46,sintel,1,750,4.0,685.9651715040001,0.373399881837158,87.43,85.05612492959636,1.0,1.0
0,47,sintel,1,750,4.224677716388221,794.634146341,0.0,87.43,87.21449355432777,1.0,1.0
1,0,sintel,1,750,4.0,2141.38768276,0.40096070606577316,87.43,78.59214637841492,1.0,1.0
1,1,sintel,2,1200,4.14376660728345,1244.73793756,0.0,95.19,91.09287533214567,1.0,1.0
1,2,sintel,1,750,6.827277451537823,2278.78823529,0.0,87.43,83.38654554903077,1.0,1.0
1,3,sintel,2,1200,8.32102716395314,1915.2117503099998,0.0,95.19,91.17642054327906,1.0,1.0
1,4,sintel,2,1200,10.388462260367499,2483.7458194,0.0,95.19,95.09776924520735,1.0,1.0
1,5,sintel,2,1200,11.896968572157778,1926.55515152,0.0,95.19,95.12793937144315,1.0,1.0
1,6,sintel,2,1200,13.373900234074153,1902.44549763,0.0,95.19,95.15747800468148,1.0,1.0
1,7,sintel,2,1200,14.143760133396865,1486.00365631,0.0,95.19,95.17287520266794,1.0,1.0
1,8,sintel,2,1200,15.300251715188331,1688.05549133,0.0,95.19,95.19,1.0,1.0
1,9,sintel,2,1200,17.23196428527656,2320.7606112099998,0.0,95.19,95.19,1.0,1.0
1,10,sintel,2,1200,18.64357962903643,1854.4384384399998,0.0,95.19,95.19,1.0,1.0
1,11,sintel,2,1200,19.777827498738734,1674.95295537,0.0,95.19,95.19,1.0,1.0
1,12,sintel,2,1200,21.729794945930877,2343.71274686,0.0,95.19,95.19,1.0,1.0
