step,mean_action,action_distribution,action_variance,action_entropy
6200000,3.12,0.000;0.125;0.250;0.125;0.375;0.125,1.61,1.494
6240000,2.62,0.000;0.375;0.000;0.250;0.375;0.000,1.73,1.082
6280000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
6320000,2.62,0.125;0.250;0.125;0.125;0.125;0.250,3.23,1.733
6360000,2.12,0.125;0.125;0.375;0.250;0.125;0.000,1.36,1.494
6400000,1.50,0.375;0.125;0.125;0.375;0.000;0.000,1.75,1.255
6440000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
6480000,2.00,0.250;0.125;0.250;0.250;0.000;0.125,2.50,1.560
6520000,2.25,0.000;0.250;0.375;0.250;0.125;0.000,0.94,1.321
6560000,2.62,0.125;0.250;0.125;0.125;0.125;0.250,3.23,1.733
6600000,1.88,0.000;0.375;0.375;0.250;0.000;0.000,0.61,1.082
6640000,1.88,0.125;0.125;0.500;0.250;0.000;0.000,0.86,1.213
6680000,2.00,0.125;0.375;0.000;0.375;0.125;0.000,1.75,1.255
6720000,2.00,0.000;0.500;0.250;0.000;0.250;0.000,1.50,1.040
6760000,1.75,0.375;0.250;0.000;0.000;0.375;0.000,3.19,1.082
6800000,2.25,0.250;0.125;0.000;0.375;0.250;0.000,2.44,1.321
6840000,1.62,0.125;0.375;0.250;0.250;0.000;0.000,0.98,1.321
6880000,2.25,0.125;0.125;0.125;0.625;0.000;0.000,1.19,1.074
6920000,2.38,0.125;0.125;0.375;0.125;0.125;0.125,2.23,1.667
6960000,1.88,0.250;0.125;0.250;0.250;0.125;0.000,1.86,1.560
7000000,2.00,0.250;0.000;0.500;0.000;0.250;0.000,2.00,1.040
7040000,2.75,0.125;0.250;0.125;0.000;0.250;0.250,3.44,1.560
7080000,1.38,0.250;0.375;0.125;0.250;0.000;0.000,1.23,1.321
7120000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
7160000,2.12,0.000;0.250;0.500;0.125;0.125;0.000,0.86,1.213
7200000,1.88,0.375;0.125;0.125;0.000;0.375;0.000,3.11,1.255
7240000,3.12,0.000;0.125;0.000;0.500;0.375;0.000,0.86,0.974
7280000,2.25,0.000;0.375;0.250;0.125;0.250;0.000,1.44,1.321
