step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth
6080000,12.0000,2.2052,0.0689,4.56
6120000,12.0000,2.2850,0.0000,3.08
6160000,12.0000,2.2680,0.1238,3.71
6200000,12.0000,2.2825,0.0000,3.22
6240000,12.0000,2.2270,0.0088,2.04
6280000,12.0000,2.1863,0.1689,4.02
6320000,12.0000,2.1838,0.0020,4.00
6360000,12.0000,2.1392,0.0000,2.18
6400000,12.0000,2.1043,0.0243,4.76
6440000,12.0000,2.1396,0.0368,2.89
6480000,12.0000,2.0848,0.0000,1.42
6520000,12.0000,1.9218,0.2941,1.65
6560000,12.0000,1.8101,0.0094,3.88
6600000,12.0000,1.8390,0.0056,3.27
6640000,12.0000,1.8073,0.0022,2.60
6680000,12.0000,1.7445,0.0188,6.16
6720000,12.0000,1.6958,0.1189,3.24
6760000,12.0000,1.7072,0.0076,6.76
6800000,12.0000,1.6908,0.4392,1.07
6840000,12.0000,1.7131,0.0244,5.77
6880000,12.0000,1.8111,0.0061,3.06
6920000,12.0000,1.8473,0.0000,3.12
6960000,12.0000,1.8789,0.1325,3.56
7000000,12.0000,1.9217,0.0786,4.17
7040000,12.0000,2.0002,0.0461,2.62
7080000,12.0000,2.1329,0.2645,5.98
7120000,12.0000,2.2417,0.1214,4.55
7160000,12.0000,2.3400,0.0505,2.51
7200000,12.0000,2.4115,0.1267,1.81
7240000,12.0000,2.4644,0.0254,3.51
7280000,12.0000,2.4112,0.2660,5.91
7320000,12.0000,2.5000,0.0246,3.50
7360000,12.0000,2.4703,0.2000,3.71
7400000,12.0000,2.4312,0.0786,2.98
7440000,12.0000,2.3209,0.0936,1.94
7480000,12.0000,2.2311,0.4159,0.00
7520000,12.0000,2.1449,0.2747,2.35
7560000,12.0000,2.0758,0.0067,2.11
7600000,12.0000,1.9464,0.0107,3.48
7640000,12.0000,1.8033,0.0000,2.62
7680000,12.0000,1.7352,0.0000,1.93
7720000,12.0000,1.6603,0.0497,2.32
7760000,12.0000,1.5703,0.1569,3.31
7800000,12.0000,1.4648,0.0059,3.56
7840000,12.0000,1.3815,0.0467,6.85
7880000,12.0000,1.3839,0.1494,2.89
7920000,12.0000,1.4581,0.0709,4.42
7960000,12.0000,1.5261,0.2096,2.32
8000000,12.0000,1.4863,0.0912,1.46
