episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,shield_active
0,21,sintel,1,750,4.0,666.069576218,0.5040339734990704,87.43,85.04265391395401,1.0,0
0,22,sintel,1,750,4.185665300199043,786.506753106,0.0,87.43,87.21371330600398,1.0,0
0,23,sintel,1,750,4.0,694.616970658,0.13326171530152298,87.43,86.63697462420346,1.0,0
0,24,sintel,1,750,4.0,531.659947415,1.6427045418530977,87.43,80.14637047003168,1.0,0
0,25,sintel,1,750,4.0,492.534958767,2.090938209767134,87.43,78.21896569800133,1.0,0
0,26,sintel,1,750,4.0,719.274853801,0.17086734528050496,87.43,86.47527041529383,1.0,0
0,27,sintel,1,750,4.0,686.2371579449999,0.37166650809725166,87.43,85.61183401518183,1.0,0
0,28,sintel,1,750,4.283367199848759,807.1822429910001,0.0,87.43,87.21566734399698,1.0,0
0,29,sintel,1,750,4.503258727172412,793.628019324,0.0,87.43,87.22006517454345,1.0,0
0,30,sintel,1,750,4.50015635380639,749.418755803,0.0,87.43,87.22000312707614,1.0,0
0,31,sintel,1,750,5.472476539620308,990.857747224,0.0,87.43,87.23944953079241,1.0,0
0,32,sintel,1,750,6.361054703622118,964.189415042,0.0,87.43,87.25722109407245,1.0,0
0,33,sintel,1,750,5.121985497613535,572.6208,0.0,87.43,87.23243970995227,1.0,0
0,34,sintel,1,750,4.989323481904194,725.924353019,0.0,87.43,87.22978646963809,1.0,0
0,35,sintel,1,750,4.0,536.965223563,0.5976305113054279,87.43,84.64018880138667,1.0,0
0,36,sintel,1,750,4.297591175501585,810.283289125,0.0,87.43,87.21595182351004,1.0,0
0,37,sintel,1,750,4.349936780209335,759.944944415,0.0,87.43,87.2169987356042,1.0,0
0,38,sintel,1,750,4.0,363.85622119799996,3.895078215336083,87.43,70.46116367405486,1.0,0
0,39,sintel,1,750,4.0,361.492461027,4.298928258357037,87.43,68.72460848906475,1.0,0
0,40,sintel,1,750,4.0,439.670636271,2.8232894182883044,87.43,75.0698555013603,1.0,0
0,41,sintel,1,750,4.0,452.328430062,2.6323489761384096,87.43,75.89089940260484,1.0,0
0,42,sintel,1,750,4.330381110332736,817.523587653,0.0,87.43,87.21660762220667,1.0,0
0,43,sintel,1,750,4.001899845760038,693.083743842,0.0,87.43,87.2100379969152,1.0,0
0,44,sintel,1,750,4.0,554.2171846440001,1.411140534658771,87.43,81.14209570096729,1.0,0
0,45,sintel,1,750,4.0,499.064343164,2.0112489323128333,87.43,78.56162959105482,1.0,0
0,46,sintel,1,750,4.0,685.9651715040001,0.373399881837158,87.43,85.60438050810023,1.0,0
0,47,sintel,1,750,4.224677716388221,794.634146341,0.0,87.43,87.21449355432777,1.0,0
1,0,sintel,1,750,4.0,2141.38768276,0.40096070606577316,87.43,72.87586896391717,1.0,0
1,1,sintel,1,750,5.589854129552156,1244.73793756,0.0,87.43,87.24179708259105,1.0,0
1,2,sintel,1,750,8.27336497380653,2278.78823529,0.0,87.43,87.29546729947614,1.0,0
1,3,sintel,1,750,10.706958544066103,1915.2117503099998,0.0,87.43,87.34413917088133,1.0,0
1,4,sintel,1,750,13.499105479325078,2483.7458194,0.0,87.43,87.3999821095865,1.0,0
1,5,sintel,1,750,15.941921924194002,1926.55515152,0.0,87.43,87.43,1.0,0
1,6,sintel,1,750,18.365004212891737,1902.44549763,0.0,87.43,87.43,1.0,0
1,7,sintel,1,750,20.34616664996843,1486.00365631,0.0,87.43,87.43,1.0,0
1,8,sintel,2,1200,21.502658231759895,1688.05549133,0.0,95.19,87.43,1.0,0
1,9,sintel,2,1200,23.434370801848125,2320.7606112099998,0.0,95.19,95.19,1.0,0
1,10,sintel,2,1200,24.845986145607995,1854.4384384399998,0.0,95.19,95.19,1.0,0
1,11,sintel,2,1200,25.980234015310298,1674.95295537,0.0,95.19,95.19,1.0,0
1,12,sintel,2,1200,27.93220146250244,2343.71274686,0.0,95.19,95.19,1.0,0
1,13,sintel,2,1200,29.640687389051873,2094.68493151,0.0,95.19,95.19,1.0,0
1,14,sintel,2,1200,30.0,1818.57069409,0.0,95.19,95.19,1.0,0
1,15,sintel,2,1200,30.0,2307.61204013,0.0,95.19,95.19,1.0,0
1,16,sintel,2,1200,30.0,2390.6227106200004,0.0,95.19,95.19,1.0,0
