episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,grad_factor
0,19,crowd_run,1,750,4.0,486.37653587,2.168060707603394,15.45,-14.46248571567037,2.1,1.44925
0,20,crowd_run,1,750,4.0,735.174866627,0.08066180739294371,15.45,14.125303274758085,2.1,1.44925
0,21,crowd_run,1,750,4.0,666.069576218,0.5040339734990704,15.45,8.32704681891616,2.1,1.44925
0,22,crowd_run,1,750,4.185665300199043,786.506753106,0.0,15.45,15.23371330600398,2.081433469980096,1.44925
0,23,crowd_run,1,750,4.0,694.616970658,0.13326171530152298,15.45,13.40492583848808,2.1,1.44925
0,24,crowd_run,1,750,4.0,531.659947415,1.6427045418530977,15.45,-7.2675163163016885,2.1,1.44925
0,25,crowd_run,1,750,4.0,492.534958767,2.090938209767134,15.45,-13.40626129477243,2.1,1.44925
0,26,crowd_run,1,750,4.0,719.274853801,0.17086734528050496,15.45,12.889901223603555,2.1,1.44925
0,27,crowd_run,1,750,4.0,686.2371579449999,0.37166650809725166,15.45,10.139873859173546,2.1,1.44925
0,28,crowd_run,1,750,4.283367199848759,807.1822429910001,0.0,15.45,15.235667343996974,2.071663280015124,1.44925
0,29,crowd_run,1,750,4.503258727172412,793.628019324,0.0,15.45,15.240065174543448,2.049674127282759,1.44925
0,30,crowd_run,1,750,4.50015635380639,749.418755803,0.0,15.45,15.240003127076127,2.049984364619361,1.44925
0,31,crowd_run,1,750,5.472476539620308,990.857747224,0.0,15.45,15.259449530792406,1.9527523460379692,1.44925
0,32,crowd_run,1,750,6.361054703622118,964.189415042,0.0,15.45,15.277221094072441,1.8638945296377882,1.44925
0,33,crowd_run,1,750,5.121985497613535,572.6208,0.0,15.45,15.25243970995227,1.9878014502386465,1.44925
0,34,crowd_run,1,750,4.989323481904194,725.924353019,0.0,15.45,15.249786469638083,2.0010676518095805,1.44925
0,35,crowd_run,1,750,4.0,536.965223563,0.5976305113054279,15.45,7.045203625086251,2.1,1.44925
0,36,crowd_run,1,750,4.297591175501585,810.283289125,0.0,15.45,15.235951823510032,2.0702408824498413,1.44925
0,37,crowd_run,1,750,4.349936780209335,759.944944415,0.0,15.45,15.236998735604185,2.065006321979067,1.44925
0,38,crowd_run,1,750,4.0,363.85622119799996,3.895078215336083,15.45,-38.114702878791476,2.1,1.44925
0,39,crowd_run,1,750,4.0,361.492461027,4.298928258357037,15.45,-43.6455958061062,2.1,1.44925
0,40,crowd_run,1,750,4.0,439.670636271,2.8232894182883044,15.45,-23.436113190343374,2.1,1.44925
0,41,crowd_run,1,750,4.0,452.328430062,2.6323489761384096,15.45,-20.821105072168177,2.1,1.44925
0,42,crowd_run,1,750,4.330381110332736,817.523587653,0.0,15.45,15.236607622206654,2.0669618889667265,1.44925
0,43,crowd_run,1,750,4.001899845760038,693.083743842,0.0,15.45,15.2300379969152,2.099810015423996,1.44925
0,44,crowd_run,1,750,4.0,554.2171846440001,1.411140534658771,15.45,-4.0961517176224165,2.1,1.44925
0,45,crowd_run,1,750,4.0,499.064343164,2.0112489323128333,15.45,-12.314883768208832,2.1,1.44925
0,46,crowd_run,1,750,4.0,685.9651715040001,0.373399881837158,15.45,10.116134590788862,2.1,1.44925
0,47,crowd_run,1,750,4.224677716388221,794.634146341,0.0,15.45,15.234493554327763,2.0775322283611777,1.44925
1,0,crowd_run,1,750,4.0,2141.38768276,0.40096070606577316,15.45,4.028677734137985,2.1,1.44925
1,1,crowd_run,1,750,5.589854129552156,1244.73793756,0.0,15.45,15.261797082591043,1.9410145870447844,1.44925
1,2,crowd_run,1,750,8.27336497380653,2278.78823529,0.0,15.45,15.31546729947613,1.672663502619347,1.44925
1,3,crowd_run,1,750,10.706958544066103,1915.2117503099998,0.0,15.45,15.364139170881321,1.4293041455933897,1.44925
1,4,crowd_run,1,750,13.499105479325078,2483.7458194,0.0,15.45,15.4199821095865,1.1500894520674922,1.44925
1,5,crowd_run,1,750,15.941921924194002,1926.55515152,0.0,15.45,15.45,1.0,1.44925
1,6,crowd_run,1,750,18.365004212891737,1902.44549763,0.0,15.45,15.45,1.0,1.44925
1,7,crowd_run,1,750,20.34616664996843,1486.00365631,0.0,15.45,15.45,1.0,1.44925
