step,mean_action,action_distribution,action_variance,action_entropy
3240000,1.38,0.250;0.500;0.000;0.125;0.125;0.000,1.73,1.213
3280000,2.25,0.000;0.375;0.125;0.375;0.125;0.000,1.19,1.255
3320000,2.38,0.125;0.125;0.375;0.125;0.125;0.125,2.23,1.667
3360000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
3400000,1.88,0.125;0.250;0.250;0.375;0.000;0.000,1.11,1.321
3440000,2.62,0.125;0.375;0.000;0.000;0.250;0.250,3.73,1.321
3480000,1.38,0.250;0.500;0.000;0.125;0.125;0.000,1.73,1.213
3520000,2.12,0.125;0.375;0.125;0.125;0.125;0.125,2.61,1.667
3560000,1.50,0.375;0.250;0.125;0.125;0.000;0.125,2.75,1.494
3600000,2.75,0.000;0.125;0.250;0.375;0.250;0.000,0.94,1.321
3640000,1.62,0.250;0.375;0.125;0.000;0.250;0.000,2.23,1.321
3680000,1.50,0.250;0.375;0.125;0.125;0.125;0.000,1.75,1.494
3720000,1.75,0.250;0.125;0.250;0.375;0.000;0.000,1.44,1.321
3760000,2.62,0.000;0.125;0.500;0.000;0.375;0.000,1.23,0.974
3800000,1.62,0.250;0.250;0.250;0.125;0.125;0.000,1.73,1.560
3840000,1.88,0.000;0.625;0.000;0.250;0.125;0.000,1.36,0.900
3880000,2.00,0.125;0.125;0.375;0.375;0.000;0.000,1.00,1.255
3920000,2.12,0.125;0.375;0.125;0.000;0.375;0.000,2.36,1.255
3960000,1.12,0.000;0.875;0.125;0.000;0.000;0.000,0.11,0.377
4000000,1.25,0.125;0.625;0.125;0.125;0.000;0.000,0.69,1.074
4040000,1.00,0.500;0.250;0.125;0.000;0.125;0.000,1.75,1.213
4080000,2.62,0.000;0.125;0.500;0.125;0.125;0.125,1.48,1.386
4120000,1.38,0.250;0.375;0.250;0.000;0.125;0.000,1.48,1.321
4160000,1.38,0.250;0.375;0.125;0.250;0.000;0.000,1.23,1.321
4200000,2.75,0.125;0.000;0.250;0.250;0.375;0.000,1.69,1.321
4240000,2.75,0.000;0.250;0.000;0.500;0.250;0.000,1.19,1.040
4280000,1.38,0.250;0.500;0.125;0.000;0.000;0.125,2.23,1.213
4320000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
4360000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
4400000,3.62,0.000;0.000;0.250;0.000;0.625;0.125,0.98,0.900
4440000,1.88,0.125;0.375;0.250;0.000;0.250;0.000,1.86,1.321
4480000,1.75,0.125;0.250;0.375;0.250;0.000;0.000,0.94,1.321
4520000,1.88,0.125;0.500;0.125;0.000;0.125;0.125,2.61,1.386
4560000,2.25,0.000;0.250;0.375;0.250;0.125;0.000,0.94,1.321
4600000,1.50,0.125;0.500;0.125;0.250;0.000;0.000,1.00,1.213
4640000,3.38,0.000;0.125;0.250;0.125;0.125;0.375,2.23,1.494
4680000,2.38,0.000;0.375;0.250;0.000;0.375;0.000,1.73,1.082
4720000,2.00,0.125;0.250;0.375;0.125;0.000;0.125,2.00,1.494
4760000,2.00,0.250;0.250;0.125;0.000;0.375;0.000,2.75,1.321
4800000,1.88,0.000;0.250;0.625;0.125;0.000;0.000,0.36,0.900
4840000,1.88,0.000;0.500;0.250;0.125;0.125;0.000,1.11,1.213
4880000,2.00,0.125;0.250;0.375;0.000;0.250;0.000,1.75,1.321
4920000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
4960000,2.50,0.000;0.250;0.250;0.250;0.250;0.000,1.25,1.386
5000000,1.88,0.125;0.500;0.000;0.250;0.000;0.125,2.36,1.213
5040000,2.88,0.000;0.250;0.250;0.125;0.125;0.250,2.36,1.560
5080000,1.62,0.125;0.375;0.250;0.250;0.000;0.000,0.98,1.321
5120000,1.50,0.000;0.625;0.250;0.125;0.000;0.000,0.50,0.900
5160000,1.75,0.250;0.125;0.250;0.375;0.000;0.000,1.44,1.321
5200000,3.25,0.000;0.250;0.125;0.125;0.125;0.375,2.69,1.494
5240000,2.12,0.000;0.250;0.500;0.125;0.125;0.000,0.86,1.213
5280000,2.75,0.000;0.250;0.000;0.500;0.250;0.000,1.19,1.040
5320000,1.62,0.375;0.125;0.000;0.500;0.000;0.000,1.98,0.974
5360000,2.12,0.125;0.250;0.250;0.125;0.250;0.000,1.86,1.560
5400000,1.25,0.375;0.375;0.000;0.125;0.125;0.000,1.94,1.255
5440000,2.38,0.125;0.375;0.125;0.000;0.125;0.250,3.48,1.494
5480000,2.12,0.000;0.500;0.125;0.125;0.250;0.000,1.61,1.213
5520000,1.88,0.250;0.250;0.125;0.125;0.250;0.000,2.36,1.560
5560000,2.50,0.000;0.250;0.250;0.250;0.250;0.000,1.25,1.386
5600000,1.38,0.250;0.500;0.000;0.125;0.125;0.000,1.73,1.213
5640000,1.88,0.375;0.000;0.250;0.125;0.250;0.000,2.61,1.321
5680000,2.62,0.000;0.500;0.000;0.125;0.125;0.250,2.98,1.213
5720000,2.25,0.250;0.250;0.000;0.125;0.250;0.125,3.44,1.560
5760000,1.88,0.000;0.375;0.375;0.250;0.000;0.000,0.61,1.082
5800000,2.12,0.000;0.500;0.125;0.125;0.250;0.000,1.61,1.213
5840000,1.62,0.000;0.500;0.375;0.125;0.000;0.000,0.48,0.974
5880000,1.00,0.375;0.375;0.125;0.125;0.000;0.000,1.00,1.255
5920000,1.62,0.000;0.375;0.625;0.000;0.000;0.000,0.23,0.662
5960000,1.25,0.250;0.375;0.250;0.125;0.000;0.000,0.94,1.321
6000000,1.25,0.250;0.500;0.125;0.000;0.125;0.000,1.44,1.213
6040000,1.38,0.250;0.375;0.250;0.000;0.125;0.000,1.48,1.321
6080000,2.38,0.125;0.000;0.375;0.375;0.125;0.000,1.23,1.255
6120000,1.88,0.000;0.500;0.250;0.125;0.125;0.000,1.11,1.213
6160000,2.75,0.000;0.375;0.000;0.250;0.250;0.125,2.19,1.321
6200000,2.38,0.125;0.375;0.000;0.125;0.250;0.125,2.98,1.494
6240000,3.00,0.000;0.250;0.125;0.125;0.375;0.125,2.00,1.494
6280000,1.75,0.250;0.250;0.125;0.250;0.125;0.000,1.94,1.560
6320000,2.62,0.125;0.125;0.125;0.250;0.375;0.000,1.98,1.494
6360000,1.50,0.125;0.625;0.000;0.125;0.125;0.000,1.50,1.074
6400000,2.12,0.250;0.125;0.250;0.125;0.125;0.125,2.86,1.733
6440000,1.50,0.375;0.125;0.250;0.125;0.125;0.000,2.00,1.494
6480000,1.50,0.125;0.625;0.125;0.000;0.000;0.125,2.00,1.074
6520000,1.75,0.000;0.500;0.250;0.250;0.000;0.000,0.69,1.040
6560000,3.00,0.000;0.000;0.250;0.500;0.250;0.000,0.50,1.040
6600000,1.62,0.000;0.375;0.625;0.000;0.000;0.000,0.23,0.662
6640000,2.62,0.000;0.250;0.250;0.250;0.125;0.125,1.73,1.560
6680000,1.25,0.125;0.500;0.375;0.000;0.000;0.000,0.44,0.974
6720000,2.25,0.125;0.375;0.125;0.000;0.250;0.125,2.94,1.494
6760000,1.50,0.375;0.250;0.125;0.125;0.000;0.125,2.75,1.494
6800000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
6840000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
6880000,2.75,0.125;0.000;0.125;0.500;0.250;0.000,1.44,1.213
6920000,2.00,0.125;0.375;0.125;0.250;0.000;0.125,2.25,1.494
6960000,2.00,0.125;0.375;0.125;0.125;0.250;0.000,2.00,1.494
7000000,2.12,0.125;0.125;0.375;0.250;0.125;0.000,1.36,1.494
7040000,2.50,0.250;0.125;0.000;0.250;0.250;0.125,3.25,1.560
7080000,0.88,0.250;0.625;0.125;0.000;0.000;0.000,0.36,0.900
7120000,2.38,0.125;0.125;0.375;0.125;0.125;0.125,2.23,1.667
7160000,1.88,0.125;0.500;0.000;0.250;0.000;0.125,2.36,1.213
7200000,2.25,0.250;0.125;0.125;0.250;0.125;0.125,2.94,1.733
7240000,2.62,0.000;0.250;0.250;0.250;0.125;0.125,1.73,1.560
7280000,1.75,0.000;0.625;0.125;0.125;0.125;0.000,1.19,1.074
7320000,1.38,0.500;0.125;0.125;0.000;0.250;0.000,2.73,1.213
7360000,2.00,0.125;0.375;0.000;0.375;0.125;0.000,1.75,1.255
7400000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
7440000,1.75,0.375;0.000;0.375;0.125;0.000;0.125,2.69,1.255
7480000,1.50,0.250;0.375;0.125;0.125;0.125;0.000,1.75,1.494
7520000,2.12,0.125;0.250;0.250;0.125;0.250;0.000,1.86,1.560
7560000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
7600000,3.00,0.000;0.250;0.125;0.250;0.125;0.250,2.25,1.560
7640000,2.12,0.125;0.250;0.250;0.125;0.250;0.000,1.86,1.560
7680000,2.00,0.125;0.500;0.125;0.000;0.000;0.250,3.25,1.213
7720000,1.38,0.250;0.500;0.000;0.125;0.125;0.000,1.73,1.213
7760000,2.62,0.125;0.125;0.000;0.500;0.250;0.000,1.73,1.213
7800000,2.38,0.000;0.500;0.000;0.250;0.125;0.125,2.23,1.213
7840000,3.00,0.000;0.125;0.250;0.250;0.250;0.125,1.50,1.560
7880000,2.25,0.000;0.375;0.250;0.125;0.250;0.000,1.44,1.321
7920000,2.12,0.000;0.500;0.250;0.000;0.125;0.125,2.11,1.213
7960000,1.88,0.125;0.500;0.000;0.125;0.250;0.000,2.11,1.213
8000000,2.12,0.000;0.375;0.375;0.000;0.250;0.000,1.36,1.082
