video,chunk,bitrate_kbps,vmaf
bigbuckbunny,36,1850,93.994
bigbuckbunny,36,2850,95.9005
bigbuckbunny,36,6000,96.0959
bigbuckbunny,37,300,68.8449
bigbuckbunny,37,750,84.3219
bigbuckbunny,37,1200,89.8093
bigbuckbunny,37,1850,93.8878
bigbuckbunny,37,2850,96.1562
bigbuckbunny,37,6000,96.4976
bigbuckbunny,38,300,67.3826
bigbuckbunny,38,750,83.8874
bigbuckbunny,38,1200,90.0512
bigbuckbunny,38,1850,94.6043
bigbuckbunny,38,2850,96.7391
bigbuckbunny,38,6000,97.0392
bigbuckbunny,39,300,66.6979
bigbuckbunny,39,750,82.6979
bigbuckbunny,39,1200,89.1628
bigbuckbunny,39,1850,94.9251
bigbuckbunny,39,2850,96.4615
bigbuckbunny,39,6000,95.7747
bigbuckbunny,40,300,67.907
bigbuckbunny,40,750,85.1479
bigbuckbunny,40,1200,90.1948
bigbuckbunny,40,1850,95.0062
bigbuckbunny,40,2850,96.8862
bigbuckbunny,40,6000,97.0458
bigbuckbunny,41,300,68.6483
bigbuckbunny,41,750,84.8714
bigbuckbunny,41,1200,90.5444
bigbuckbunny,41,1850,94.8997
bigbuckbunny,41,2850,96.5874
bigbuckbunny,41,6000,96.6164
bigbuckbunny,42,300,71.0608
bigbuckbunny,42,750,87.1666
bigbuckbunny,42,1200,91.4463
bigbuckbunny,42,1850,95.1195
bigbuckbunny,42,2850,96.8325
bigbuckbunny,42,6000,97.0579
bigbuckbunny,43,300,77.247
bigbuckbunny,43,750,89.6325
bigbuckbunny,43,1200,93.8589
bigbuckbunny,43,1850,97.1289
bigbuckbunny,43,2850,98.0723
bigbuckbunny,43,6000,98.2031
bigbuckbunny,44,300,69.6493
bigbuckbunny,44,750,86.7336
bigbuckbunny,44,1200,92.5262
bigbuckbunny,44,1850,97.9028
bigbuckbunny,44,2850,98.9847
bigbuckbunny,44,6000,98.6478
bigbuckbunny,45,300,68.2495
bigbuckbunny,45,750,87.0449
bigbuckbunny,45,1200,92.7704
bigbuckbunny,45,1850,97.8269
bigbuckbunny,45,2850,99.3915
bigbuckbunny,45,6000,99.6291
bigbuckbunny,46,300,66.934
bigbuckbunny,46,750,87.2734
bigbuckbunny,46,1200,94.0257
bigbuckbunny,46,1850,97.9348
bigbuckbunny,46,2850,98.8451
bigbuckbunny,46,6000,98.9865
bigbuckbunny,47,300,67.037
bigbuckbunny,47,750,83.9449
bigbuckbunny,47,1200,90.3092
bigbuckbunny,47,1850,95.8691
bigbuckbunny,47,2850,96.9374
bigbuckbunny,47,6000,96.4154
crowd_run,0,300,2.5302
crowd_run,0,750,14.047
crowd_run,0,1200,23.2162
crowd_run,0,1850,31.1537
crowd_run,0,2850,42.8005
crowd_run,0,6000,59.9666
crowd_run,1,300,4.4251
crowd_run,1,750,15.8005
crowd_run,1,1200,24.9452
crowd_run,1,1850,33.0091
crowd_run,1,2850,44.6603
crowd_run,1,6000,61.9859
crowd_run,2,300,6.2156
crowd_run,2,750,17.5714
crowd_run,2,1200,27.4196
crowd_run,2,1850,35.8577
crowd_run,2,2850,48.3578
crowd_run,2,6000,66.0752
sintel,0,300,82.9851
sintel,0,750,89.8472
sintel,0,1200,94.8453
sintel,0,1850,94.4942
sintel,0,2850,95.714
sintel,0,6000,97.1802
sintel,1,300,72.1007
sintel,1,750,83.5945
sintel,1,1200,94.5619
sintel,1,1850,94.1375
sintel,1,2850,95.8517
sintel,1,6000,98.093
sintel,2,300,68.8424
sintel,2,750,85.9497
sintel,2,1200,95.2474
sintel,2,1850,95.0246
sintel,2,2850,95.9162
sintel,2,6000,97.3662
sintel,3,300,74.5514
sintel,3,750,86.3555
sintel,3,1200,91.7357
sintel,3,1850,92.5284
sintel,3,2850,94.0213
sintel,3,6000,95.9286
sintel,4,300,80.5771
sintel,4,750,90.6981
sintel,4,1200,94.623
sintel,4,1850,95.2639
sintel,4,2850,96.0856
sintel,4,6000,96.9668
sintel,5,300,74.6152
sintel,5,750,89.4648
sintel,5,1200,94.0297
sintel,5,1850,95.0965
sintel,5,2850,96.4895
sintel,5,6000,97.6077
sintel,6,300,69.6036
sintel,6,750,87.5385
sintel,6,1200,96.1942
sintel,6,1850,97.5091
sintel,6,2850,98.9737
sintel,6,6000,99.7045
sintel,7,300,74.7635
sintel,7,750,91.6713
sintel,7,1200,97.2736
sintel,7,1850,98.044
sintel,7,2850,99.3126
sintel,7,6000,99.776
sintel,8,300,68.2234
sintel,8,750,84.1033
sintel,8,1200,92.634
sintel,8,1850,93.3916
sintel,8,2850,95.5936
sintel,8,6000,97.7192
sintel,9,300,72.6524
sintel,9,750,84.5077
sintel,9,1200,95.7267
sintel,9,1850,94.5699
sintel,9,2850,95.6901
sintel,9,6000,97.9695
sintel,10,300,70.8075
sintel,10,750,87.6009
sintel,10,1200,96.548
sintel,10,1850,95.8936
sintel,10,2850,96.529
sintel,10,6000,97.4411
sintel,11,300,73.5975
sintel,11,750,89.0321
sintel,11,1200,96.6782
sintel,11,1850,96.2048
sintel,11,2850,96.3885
sintel,11,6000,97.0615
sintel,12,300,69.1602
sintel,12,750,87.9934
sintel,12,1200,97.3184
sintel,12,1850,96.7424
sintel,12,2850,96.7662
sintel,12,6000,97.3883
sintel,13,300,97.428
sintel,13,750,97.428
sintel,13,1200,97.428
sintel,13,1850,97.428
sintel,13,2850,97.428
sintel,13,6000,97.428
tearsofsteel_short,0,300,79.2869
tearsofsteel_short,0,750,90.4033
tearsofsteel_short,0,1200,93.935
tearsofsteel_short,0,1850,97.4239
tearsofsteel_short,0,2850,97.4277
tearsofsteel_short,0,6000,96.6653
tearsofsteel_short,1,300,76.2087
tearsofsteel_short,1,750,89.7375
tearsofsteel_short,1,1200,93.9361
tearsofsteel_short,1,1850,97.4257
tearsofsteel_short,1,2850,97.4294
tearsofsteel_short,1,6000,96.7013
tearsofsteel_short,2,300,74.4239
tearsofsteel_short,2,750,89.847
tearsofsteel_short,2,1200,94.7438
tearsofsteel_short,2,1850,97.0385
tearsofsteel_short,2,2850,98.1615
tearsofsteel_short,2,6000,98.7862
tearsofsteel_short,3,300,59.9086
tearsofsteel_short,3,750,82.4292
tearsofsteel_short,3,1200,90.9966
tearsofsteel_short,3,1850,93.4679
tearsofsteel_short,3,2850,96.7402
tearsofsteel_short,3,6000,99.6104
tearsofsteel_short,4,300,64.9744
tearsofsteel_short,4,750,84.6522
tearsofsteel_short,4,1200,89.8029
tearsofsteel_short,4,1850,93.8072
tearsofsteel_short,4,2850,96.4096
tearsofsteel_short,4,6000,98.1149
tearsofsteel_short,5,300,64.8002
tearsofsteel_short,5,750,83.9429
tearsofsteel_short,5,1200,91.6076
tearsofsteel_short,5,1850,96.7722
tearsofsteel_short,5,2850,97.3469
tearsofsteel_short,5,6000,97.0885
tearsofsteel_short,6,300,70.8135
tearsofsteel_short,6,750,87.2261
tearsofsteel_short,6,1200,93.0015
tearsofsteel_short,6,1850,96.0866
tearsofsteel_short,6,2850,97.1699
tearsofsteel_short,6,6000,97.7896
tearsofsteel_short,7,300,70.6631
tearsofsteel_short,7,750,87.7458
tearsofsteel_short,7,1200,93.5364
tearsofsteel_short,7,1850,96.6782
tearsofsteel_short,7,2850,97.7643
tearsofsteel_short,7,6000,98.3804
tearsofsteel_short,8,300,72.0763
tearsofsteel_short,8,750,88.1954
tearsofsteel_short,8,1200,93.6596
tearsofsteel_short,8,1850,96.9372
tearsofsteel_short,8,2850,97.9649
tearsofsteel_short,8,6000,98.3707
tearsofsteel_short,9,300,72.558
tearsofsteel_short,9,750,88.1883
tearsofsteel_short,9,1200,93.5349
tearsofsteel_short,9,1850,96.5025
tearsofsteel_short,9,2850,97.3845
tearsofsteel_short,9,6000,97.9144
tearsofsteel_short,10,300,61.0784
tearsofsteel_short,10,750,83.4399
tearsofsteel_short,10,1200,90.4436
tearsofsteel_short,10,1850,94.3921
tearsofsteel_short,10,2850,96.7003
tearsofsteel_short,10,6000,97.7498
tearsofsteel_short,11,300,63.4909
tearsofsteel_short,11,750,84.6501
tearsofsteel_short,11,1200,91.2321
tearsofsteel_short,11,1850,95.1766
tearsofsteel_short,11,2850,97.2817
tearsofsteel_short,11,6000,98.0918
tearsofsteel_short,12,300,58.1715
tearsofsteel_short,12,750,80.5887
tearsofsteel_short,12,1200,91.2311
tearsofsteel_short,12,1850,94.6291
tearsofsteel_short,12,2850,97.8336
tearsofsteel_short,12,6000,99.5291
tearsofsteel_short,13,300,60.3539
tearsofsteel_short,13,750,82.5302
tearsofsteel_short,13,1200,90.0141
tearsofsteel_short,13,1850,93.5781
tearsofsteel_short,13,2850,97.0015
tearsofsteel_short,13,6000,98.8509
tearsofsteel_short,14,300,67.5419
tearsofsteel_short,14,750,87.2822
tearsofsteel_short,14,1200,93.2431
tearsofsteel_short,14,1850,95.9363
tearsofsteel_short,14,2850,98.0888
tearsofsteel_short,14,6000,99.0421
tearsofsteel_short,15,300,72.7594
tearsofsteel_short,15,750,87.8586
tearsofsteel_short,15,1200,92.182
tearsofsteel_short,15,1850,94.3423
tearsofsteel_short,15,2850,96.1739
tearsofsteel_short,15,6000,97.3087
tearsofsteel_short,16,300,72.8066
tearsofsteel_short,16,750,85.6851
tearsofsteel_short,16,1200,91.4938
tearsofsteel_short,16,1850,96.1427
tearsofsteel_short,16,2850,96.841
tearsofsteel_short,16,6000,96.3229
tearsofsteel_short,17,300,72.4521
tearsofsteel_short,17,750,86.526
tearsofsteel_short,17,1200,92.3833
tearsofsteel_short,17,1850,96.3405
tearsofsteel_short,17,2850,96.861
tearsofsteel_short,17,6000,96.7675
tearsofsteel_short,18,300,66.8115
tearsofsteel_short,18,750,84.8853
tearsofsteel_short,18,1200,91.7776
tearsofsteel_short,18,1850,96.1092
tearsofsteel_short,18,2850,97.2091
tearsofsteel_short,18,6000,97.7195
tearsofsteel_short,19,300,65.7771
tearsofsteel_short,19,750,85.7212
tearsofsteel_short,19,1200,92.7882
tearsofsteel_short,19,1850,96.8146
tearsofsteel_short,19,2850,98.5164
tearsofsteel_short,19,6000,99.4539
tearsofsteel_short,20,300,72.7875
tearsofsteel_short,20,750,88.3864
tearsofsteel_short,20,1200,93.6472
tearsofsteel_short,20,1850,96.2287
tearsofsteel_short,20,2850,97.2709
tearsofsteel_short,20,6000,98.0065
tearsofsteel_short,21,300,75.6666
tearsofsteel_short,21,750,91.0755
tearsofsteel_short,21,1200,95.7991
tearsofsteel_short,21,1850,96.9822
tearsofsteel_short,21,2850,98.0972
tearsofsteel_short,21,6000,98.902
tearsofsteel_short,22,300,67.774
tearsofsteel_short,22,750,87.5937
tearsofsteel_short,22,1200,94.5088
tearsofsteel_short,22,1850,97.7973
tearsofsteel_short,22,2850,98.6562
tearsofsteel_short,22,6000,99.0572
tearsofsteel_short,23,300,75.3172
tearsofsteel_short,23,750,88.0874
tearsofsteel_short,23,1200,92.7659
tearsofsteel_short,23,1850,95.4639
tearsofsteel_short,23,2850,96.649
tearsofsteel_short,23,6000,97.4464
tearsofsteel_short,24,300,72.1882
tearsofsteel_short,24,750,87.5067
tearsofsteel_short,24,1200,92.889
tearsofsteel_short,24,1850,95.5523
tearsofsteel_short,24,2850,96.7731
tearsofsteel_short,24,6000,97.5151
tearsofsteel_short,25,300,73.1688
tearsofsteel_short,25,750,88.1107
tearsofsteel_short,25,1200,93.1094
tearsofsteel_short,25,1850,95.5685
tearsofsteel_short,25,2850,96.7299
tearsofsteel_short,25,6000,97.4665
tearsofsteel_short,26,300,68.339
tearsofsteel_short,26,750,86.4033
tearsofsteel_short,26,1200,93.1318
tearsofsteel_short,26,1850,95.8255
tearsofsteel_short,26,2850,97.1576
tearsofsteel_short,26,6000,97.9713
tearsofsteel_short,27,300,63.967
