video,chunk,bitrate_kbps,vmaf
tearsofsteel_short,7,300,48.8484
tearsofsteel_short,7,750,69.8841
tearsofsteel_short,7,1200,84.5445
tearsofsteel_short,7,1850,90.7192
tearsofsteel_short,7,2850,93.9927
tearsofsteel_short,7,6000,97.2498
tearsofsteel_short,8,300,38.9721
tearsofsteel_short,8,750,63.1601
tearsofsteel_short,8,1200,82.2448
tearsofsteel_short,8,1850,90.729
tearsofsteel_short,8,2850,94.8796
tearsofsteel_short,8,6000,98.4125
tearsofsteel_short,9,300,38.8369
tearsofsteel_short,9,750,64.1776
tearsofsteel_short,9,1200,82.4706
tearsofsteel_short,9,1850,90.3613
tearsofsteel_short,9,2850,94.1198
tearsofsteel_short,9,6000,97.3106
tearsofsteel_short,10,300,63.1986
tearsofsteel_short,10,750,86.6874
tearsofsteel_short,10,1200,96.4708
tearsofsteel_short,10,1850,99.2426
tearsofsteel_short,10,2850,99.9109
tearsofsteel_short,10,6000,100.0
tearsofsteel_short,11,300,57.5071
tearsofsteel_short,11,750,81.7479
tearsofsteel_short,11,1200,92.5069
tearsofsteel_short,11,1850,97.1697
tearsofsteel_short,11,2850,99.4527
tearsofsteel_short,11,6000,100.0
tearsofsteel_short,12,300,35.9859
tearsofsteel_short,12,750,64.6138
tearsofsteel_short,12,1200,83.0994
tearsofsteel_short,12,1850,90.8319
tearsofsteel_short,12,2850,94.9679
tearsofsteel_short,12,6000,99.1219
tearsofsteel_short,13,300,48.5084
tearsofsteel_short,13,750,73.0165
tearsofsteel_short,13,1200,88.2564
tearsofsteel_short,13,1850,93.4142
tearsofsteel_short,13,2850,95.619
tearsofsteel_short,13,6000,97.6503
tearsofsteel_short,14,300,48.3615
tearsofsteel_short,14,750,74.0495
tearsofsteel_short,14,1200,89.4933
tearsofsteel_short,14,1850,94.6691
tearsofsteel_short,14,2850,96.8991
tearsofsteel_short,14,6000,98.8489
